Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Aishe Code,University Name,University Type
C-64166,AARIHANT AYURVEDIC MEDICAL COLLEGE AND RESEARCH INSTITUTE,Gujarat,Gandhinagar,https://www.aarihantayurvedic.org/,2019,Rural,Constituent / University College,University,U-0893,Swarrnim Startup & Innovation University,State Private University
C-64165,AARIHANT HOMOEOPATHIC MEDICAL COLLEGE AND RESEARCH INSTITUTE,Gujarat,Gandhinagar,http://aarihanthomeopathic.org/,2017,Rural,Constituent / University College,University,U-0893,Swarrnim Startup & Innovation University,State Private University
C-64168,AARIHANT INSTITUTE OF NURSING,Gujarat,Gandhinagar,www.swarrnim.edu.in,2018,Rural,Constituent / University College,University,U-0893,Swarrnim Startup & Innovation University,State Private University
C-10224,Aarupadai Veedu Institute of Technology,Tamil Nadu,Chengalpattu,www.avit.ac.in,1998,Rural,Constituent / University College,University,U-0492,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM",Deemed University-Private
C-10217,Aarupadai Veedu Medical College and Hospital,Puducherry,Puducherry,https://avmc.edu.in/,1999,Rural,Constituent / University College,University,U-0492,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM",Deemed University-Private
C-35436,"Abhijit Kadam Institute of Management and Social Sciences, Solapur",Maharashtra,Solapur,https://www.bvuniversity.edu.in/akim,1981,Urban,Constituent / University College,Private Un-Aided,U-0292,"Bharati Vidyapeeth, Pune",Deemed University-Private
C-44944,ABM college. Jamshedpur,Jharkhand,East Singhbum,www.abmcollegejamshedpur.ac.in,1971,Urban,Constituent / University College,State Government,U-0206,"Kolhan University,  West Singhbhum",State Public University
C-44544,A.B.M. COLLEGE NAGPUR,Maharashtra,Nagpur,www.pdkv.ac.in,2009,Urban,Constituent / University College,University,U-0302,"Dr. Panjabrao Deshmukh Krishi Vidyapeeth, Akola",State Public University
C-19320,A.B.S.M. INSTITUTE OF DENTAL SCIENCES,Karnataka,Dakshina Kannada,www.nitte.edu.in,1985,Urban,Constituent / University College,University,U-0239,"NITTE Unversity, Mangalore",Deemed University-Private
C-22472,Acharya Kalu Kanya Mahavidyalaya,Rajasthan,Nagaur,http://jvbi.ac.in/akkmcollege,1998,Rural,Constituent / University College,University,U-0400,"Jain Vishva Bharati Institute, Nagaur",Deemed University-Private
C-6380,Acharya Narendra Dev College,Delhi,South,http://andcollege.du.ac.in,1991,Urban,Constituent / University College,University,U-0697,A P GOYAL SHIMLA UNIVERSITY,State Private University
C-44452,"ADARSH COLLEGE, RAJDHANWAR, GIRIDIH",Jharkhand,Giridih,www.acr.ac.in,1973,Rural,Constituent / University College,State Government,U-0212,"Vinoba Bhave University, Hazaribagh",State Public University
C-29246,"Adesh Institute of Dental Sciences & Research, Baranala Road, Bathinda",Punjab,Bathinda,-,-,-,Constituent / University College,Private Un-Aided,U-0736,ADESH UNIVERSITY,State Private University
C-29187,"Adesh Institute of Medical Sciences & Research, Barnala Road",Punjab,Bathinda,-,-,-,Constituent / University College,Private Un-Aided,U-0736,ADESH UNIVERSITY,State Private University
C-10496,"Adesh Institute of Pharmacy & Biomedical Sciences, Bathinda",Punjab,Bathinda,-,-,-,Constituent / University College,Private Un-Aided,U-0736,ADESH UNIVERSITY,State Private University
C-40144,"Adichunchanagiri Institute Of Medical Science,",Karnataka,Mandya,www.bgsaims.edu.in,1986,Rural,Constituent / University College,University,U-0971,ADICHUNCHANAGIRI UNIVERSITY,State Private University
C-70586,ADICHUNCHANAGIRI SCHOOL OF NATURAL SCIENCES,Karnataka,Mandya,www.asns.ac.in,-,Rural,Constituent / University College,University,U-0971,ADICHUNCHANAGIRI UNIVERSITY,State Private University
C-9619,"Adinath Parash Mani Skt. College, Rahua Sangram, Madhubani",Bihar,Madhubani,www.ampsktcollege.org.in,1968,Rural,Constituent / University College,University,U-0067,"Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya, Darbhanga",State Public University
C-6390,Aditi Mahavidyalaya,Delhi,North West,www.aditi.du.ac.in,1994,Rural,Constituent / University College,University,U-0120,University of Delhi,Central University
C-50515,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY,Gujarat,Ahmedabad,https://silveroakuni.ac.in/,2014,Urban,Constituent / University College,University,U-1078,SILVER OAK UNIVERSITY,State Private University
C-176,"A. D. Patel Institute Of Technology, Karamsad",Gujarat,Anand,www.adit.ac.in,2000,Rural,Constituent / University College,University,U-1082,THE CHARUTAR VIDYA MANDAL (CVM) UNIVERSITY,State Private University
C-73070,ADVANCE CANCER INSTITUTE BATHINDA    ,Punjab,Bathinda,-,2016,Urban,Constituent / University College,State Government,U-0371,"Baba Farid University of Health Sciences, Faridkot",State Public University
C-57009,"ADVANCED POST GRADUATE CENTRE, LAM FARM, GUNTUR",Andhra Pradesh,Guntur,-,-,Rural,Constituent / University College,University,U-0004,"Acharya NG Ranga Agricultural University, Guntur",State Public University
C-52100,AGNOS COLLEGE OF TECHNOLOGY,Madhya Pradesh,Bhopal,www.rkdf.ac.in,-,Urban,Constituent / University College,University,U-0652,RKDF UNIVERSITY,State Private University
C-72887,AGRICULTURAL COLLEGE ADILABAD    ,Telangana,Adilabad,https://www.pjtsau.edu.in,2023,Urban,Constituent / University College,State Government,U-0784,PROFESSOR JAYASHANKAR TELANGANA AGRICULTURAL UNIVERSITY (PJTAU),State Public University
C-51365,AGRICULTURAL COLLEGE AND RESEARCH INSTITUTE,Tamil Nadu,Pudukkottai,www.tnau.ac.in,2014,Rural,Constituent / University College,University,U-0485,"Tamilnadu Agricultural University, Coimbatore",State Public University
C-67566,AGRICULTURAL COLLEGE AND RESEARCH INSTITUTE,Tamil Nadu,Nagapattinam,www.tnau.ac.in,2021,Rural,Constituent / University College,University,U-0485,"Tamilnadu Agricultural University, Coimbatore",State Public University
C-68943,"AGRICULTURAL COLLEGE AND RESEARCH INSTITUTE, CHETTINAD",Tamil Nadu,Sivaganga,www.tnau.ac.in,2021,Rural,Constituent / University College,State Government,U-0485,"Tamilnadu Agricultural University, Coimbatore",State Public University
C-44926,"Agricultural College and Research Institute, Coimbatore",Tamil Nadu,Coimbatore,www.tnau.ac.in,1906,Urban,Constituent / University College,State Government,U-0485,"Tamilnadu Agricultural University, Coimbatore",State Public University
C-68269,"AGRICULTURAL COLLEGE AND RESEARCH INSTITUTE, KARUR",Tamil Nadu,Karur,tnau.ac.in,2021,Urban,Constituent / University College,State Government,U-0485,"Tamilnadu Agricultural University, Coimbatore",State Public University
C-44925,"Agricultural College and Research Institute, Madurai",Tamil Nadu,Madurai,www.tnau.ac.in,1965,Rural,Constituent / University College,University,U-0485,"Tamilnadu Agricultural University, Coimbatore",State Public University
C-51396,"Agricultural College and Research Institute, Thiruvannamalai",Tamil Nadu,Tiruvannamalai,https://tnau.ac.in/college-vazhavachanur/,2014,Rural,Constituent / University College,University,U-0485,"Tamilnadu Agricultural University, Coimbatore",State Public University
C-26380,"Agricultural College, Aswaraopet",Telangana,Khammam,-,-,-,Constituent / University College,-,U-0784,PROFESSOR JAYASHANKAR TELANGANA AGRICULTURAL UNIVERSITY (PJTAU),State Public University
C-26378,"Agricultural College, Bapatla",Andhra Pradesh,Guntur,www.agcbapatla.in,1945,Urban,Constituent / University College,State Government,U-0004,"Acharya NG Ranga Agricultural University, Guntur",State Public University
C-26376,"Agricultural College, Jagtial",Telangana,Karimnagar,-,-,-,Constituent / University College,-,U-0784,PROFESSOR JAYASHANKAR TELANGANA AGRICULTURAL UNIVERSITY (PJTAU),State Public University
C-26377,"Agricultural College, Mahanandi",Andhra Pradesh,Kurnool,www.agcmnd.in,1991,Rural,Constituent / University College,University,U-0004,"Acharya NG Ranga Agricultural University, Guntur",State Public University
C-26375,"Agricultural College, Naira",Andhra Pradesh,Srikakulam,www.agcnaira.com,1989,Rural,Constituent / University College,State Government,U-0004,"Acharya NG Ranga Agricultural University, Guntur",State Public University
C-74866,"AGRICULTURAL COLLEGE, PULIVENDULA",Andhra Pradesh,Y.S.R. Kadapa,-,2023,Urban,Constituent / University College,University,U-0004,"Acharya NG Ranga Agricultural University, Guntur",State Public University
C-26369,"Agricultural College, Rajahmundry",Andhra Pradesh,East Godavari,https://agcrjy.in,2008,Rural,Constituent / University College,State Government,U-0004,"Acharya NG Ranga Agricultural University, Guntur",State Public University
C-61312,"Agricultural College, Sirsilla",Telangana,RAJANNA SIRCILLA,-,-,Rural,Constituent / University College,State Government,U-0784,PROFESSOR JAYASHANKAR TELANGANA AGRICULTURAL UNIVERSITY (PJTAU),State Public University
C-72889,AGRICULTURAL COLLEGE TORNALA    ,Telangana,Siddipet,https://www.pjtau.edu.in,2023,Rural,Constituent / University College,University,U-0784,PROFESSOR JAYASHANKAR TELANGANA AGRICULTURAL UNIVERSITY (PJTAU),State Public University
C-68941,"AGRICULTURAL COLLEGE, WARANGAL",Telangana,Warangal,-,-,Rural,Constituent / University College,University,U-0784,PROFESSOR JAYASHANKAR TELANGANA AGRICULTURAL UNIVERSITY (PJTAU),State Public University
C-44924,"Agricultural Engineering College and Research Institute, Coimbatore",Tamil Nadu,Coimbatore,www.tnau.ac.in,1972,Urban,Constituent / University College,University,U-0485,"Tamilnadu Agricultural University, Coimbatore",State Public University
C-44929,"Agricultural Engineering College and Research Institute, Tiruchirappalli",Tamil Nadu,Tiruchirappalli,http://www.tnau.ac.in,1992,Rural,Constituent / University College,State Government,U-0485,"Tamilnadu Agricultural University, Coimbatore",State Public University
C-75288,AGRICULTURAL POLYTECHNIC,Andhra Pradesh,Krishna,www.angrau.ac.in,2016,Rural,Constituent / University College,University,U-0004,"Acharya NG Ranga Agricultural University, Guntur",State Public University
C-71873,AGRICULTURAL POLYTECHNIC,Andhra Pradesh,Sri Potti Sriramulu Nellore,-,-,Rural,Constituent / University College,University,U-0004,"Acharya NG Ranga Agricultural University, Guntur",State Public University
C-75035,"AGRICULTURAL POLYTECHNIC OF SEED TECHNOLOGY, J M PURAM, GURAZALA",Andhra Pradesh,Palnadu,angrau.ac.in,2011,Rural,Constituent / University College,State Government,U-0004,"Acharya NG Ranga Agricultural University, Guntur",State Public University
