Exam Name,Category ID,Level,State/UT,Purpose,Conducting Body,Eligibility Level,Official Website,Current Status,Notes
National Means-cum-Merit Scholarship Scheme (NMMSS),CAT_02,National,All India,Scholarship,Ministry of Education (MoE) & State SCERTs,Class 8,scholarships.gov.in,Active,Centrally sponsored but exams are conducted individually by all 28 States and 8 UTs for their respective students.
National Talent Search Examination (NTSE),CAT_02,National,All India,Scholarship,NCERT & State SCERTs,Class 10,ncert.nic.in,Discontinued / On Hold,Stalled after 2021 by NCERT; previously the most prestigious national school scholarship exam.
INSPIRE Award MANAK,CAT_02,National,All India,Scholarship,Dept of Science & Technology (DST),Class 6 to 10,inspireawards-dst.gov.in,Active,"Fosters innovation; selected students receive ?10,000 to prepare science projects/models."
Pre-Matric & Post-Matric Scholarships for Minorities,CAT_02,National,All India,Scholarship,Ministry of Minority Affairs (MoMA),Class 1 to 12,scholarships.gov.in,Active,Central scholarship requiring minimum 50% marks in previous final exam.
CBSE Merit Scholarship for Single Girl Child,CAT_02,National,All India,Scholarship,CBSE,Class 10 passed,cbse.gov.in,Active,Only for single girl children who passed Class 10 from CBSE and continue Class 11/12 in CBSE schools.
Central Sector Scheme of Scholarship (CSSS),CAT_02,National,All India,Scholarship,Dept of Higher Education (MoE),Class 12 passed,scholarships.gov.in,Active,Awarded based on Class 12 board percentile to fund UG/PG studies.
Kishore Vaigyanik Protsahan Yojana (KVPY),CAT_02,National,All India,Scholarship,IISc Bangalore / DST,"Class 11, 12, UG",kvpy.iisc.ac.in,Discontinued,Officially subsumed into the INSPIRE fellowship scheme starting 2022.
National Standard Examination (NSEP/NSEC/NSEB/NSEA/NSEJS),CAT_02,National,All India,Eligibility,Indian Association of Physics Teachers (IAPT),Class 9 to 12,iapt.org.in,Active,"Stage 1 for International Science Olympiads. Covers Physics, Chemistry, Biology, Astronomy, and Jr. Science."
Indian National Olympiad (INPhO/INChO/INBO/INAO/INJSO),CAT_02,National,All India,Eligibility,Homi Bhabha Centre for Science Education (HBCSE),Class 9 to 12,olympiads.hbcse.tifr.res.in,Active,Stage 2 for International Science Olympiads. Qualifiers from NSE take this exam.
Indian Olympiad Qualifier in Mathematics (IOQM),CAT_02,National,All India,Eligibility,Mathematics Teachers' Association India (MTAI),Class 8 to 12,mtai.org.in,Active,Stage 1 for the International Mathematical Olympiad (replaces PRMO).
Regional & Indian National Mathematical Olympiads (RMO & INMO),CAT_02,National,All India,Eligibility,HBCSE / NBHM,Class 8 to 12,olympiads.hbcse.tifr.res.in,Active,Stages 2 and 3 for IMO. Leads to Orientation-Cum-Selection Camp (OCSC).
Zonal & Indian National Informatics Olympiad (ZIO/ZCO/INOI),CAT_02,National,All India,Eligibility,IARCS,Class 8 to 12,iarcs.org.in,Active,Official pathway for the International Olympiad in Informatics (IOI).
Delhi Mukhyamantri Vigyan Pratibha Pariksha (MVPP),CAT_02,State-UT,Delhi,Scholarship,"Directorate of Education, Delhi",Class 9,edudel.nic.in,Active,Replaced the state-level NTSE for Delhi students; awards ?5000 to top 1000 students.
Rajasthan State Talent Search Examination (STSE),CAT_02,State-UT,Rajasthan,Scholarship,Board of Secondary Education Rajasthan (BSER),Class 10 & 12,rajeduboard.rajasthan.gov.in,Active,Recognized state talent search for state board and CBSE students in Rajasthan.
Maharashtra Pre-Upper Primary (PUP) & Pre-Secondary Scholarship (PSS),CAT_02,State-UT,Maharashtra,Scholarship,MSCE Pune,Class 5 & 8,mscepune.in,Active,Massive state-wide official scholarship exam for middle-schoolers.
Kerala LSS and USS Examinations,CAT_02,State-UT,Kerala,Scholarship,Kerala Pareeksha Bhavan,Class 4 & 7,pareekshabhavan.kerala.gov.in,Active,Lower Secondary (LSS) and Upper Secondary Scholarship (USS) exams for state school students.
Odisha Pathani Samanta Mathematics Scholarship Test (PMST),CAT_02,State-UT,Odisha,Scholarship,BSE Odisha,"Class 6, 9, 11",bseodisha.ac.in,Active,Exclusive state-level mathematics talent scholarship exam.
Odisha National Rural Talent Scholarship (NRTS),CAT_02,State-UT,Odisha,Scholarship,BSE Odisha,Class 9,bseodisha.ac.in,Active,Aimed at rural students; provides monthly stipend.
JBNSTS Junior and Senior Talent Search Test,CAT_02,State-UT,West Bengal,Scholarship,Jagadish Bose National Science Talent Search,Class 11 & UG,jbnsts.ac.in,Active,Fully funded by the WB Dept. of Higher Education for pursuing Basic Sciences.
Gujarat PSE & SSE Scholarship Exams,CAT_02,State-UT,Gujarat,Scholarship,"State Examination Board, Gujarat",Class 6 & 9,sebexam.org,Active,Primary (PSE) and Secondary Scholarship Exam (SSE) for govt school students.
Punjab State Talent Search Examination (PSTSE),CAT_02,State-UT,Punjab,Scholarship,SCERT Punjab,Class 8 & 10,ssapunjab.org,Active,Specialized state-level exam heavily tied to the central NMMS and local funding.
Madhya Pradesh Super 100 Scheme Exam,CAT_02,State-UT,Madhya Pradesh,Admission / Scholarship,MPBSE / Vimarsh Portal,Class 10 passed,vimarsh.mp.gov.in,Active,Selects top state board students for free elite residential coaching and schooling for JEE/NEET.
HP Swaran Jayanti Middle Merit Scholarship (SJMMSS),CAT_02,State-UT,Himachal Pradesh,Scholarship,HPBOSE,Class 8,hpbose.org,Active,Specialized state scholarship to identify merit before high school.
Assam Chief Minister's Special Scholarship,CAT_02,State-UT,Assam,Scholarship,"Directorate of Elementary Education, Assam",,,,
