S. No.,AISHE Code,Institute Name,State Name,District Name,Administrative Ministry
1,R-10001,ISRO HEADQUARTERS,Karnataka,Bengaluru Urban,Dept of Space
2,R-10002,Vaidika Samshodhana Mandala,Maharashtra,Pune,Ministry of Education
3,R-10003,Human Space Flight Centre,Karnataka,Bengaluru Urban,Dept of Space
4,R-10004,Indian Council of Social Science Research (ICSSR),Delhi,South West,Ministry of Education
5,R-10005,Centre for Research in Rural and Industrial Development (CRRID),Chandigarh,Chandigarh,Ministry of Education
6,R-10006,National Institute of Ocean Technology,Tamil Nadu,Chennai,Ministry of Earth Sciences
7,R-10007,RESEARCH DESIGNS AND STANDARDS ORGANISATON (RDSO),Uttar Pradesh,Lucknow,Ministry of Railways
8,R-10008,ICMR-National JALMA Institute for Leprosy and Other Mycobacterial Diseases,Uttar Pradesh,Agra,"D/o Health Research, M/o Health and Family Welfare"
9,R-10009,Social Studies Foundation,Maharashtra,Pune,Ministry of Education
10,R-10010,U R Rao Satellite Centre,Karnataka,Bengaluru Urban,Dept of Space
11,R-10011,Laboratory for Electro-Optics Systems,Karnataka,Bengaluru Urban,Dept of Space
12,R-10012,Gujarat Institute of Development Research,Gujarat,Ahmedabad,Ministry of Education
13,R-10013,Centre for the Study of Developing Societies (CSDS),Delhi,North,"D/o Higher Education, Ministry of Education, GoI"
14,R-10014,ICSSR ERC,West Bengal,Kolkata,Ministry of Education
15,R-10015,"Institute of Development Studies, Jaipur",Rajasthan,Jaipur,Ministry of Education
16,R-10016,Centre for Educational and Social Studies,Karnataka,Bengaluru Urban,Ministry of Education
17,R-10017,"ICMR-Regional Medical Research Centre, Bhubaneswar",Odisha,Khordha,Ministry of Health & Family Welfare
18,R-10018,ICMR - National Institute for Research in Reproductive and Child Health,Maharashtra,Mumbai,"D/o Health Research, M/o Health and Family Welfare"
19,R-10019,ICMR-National Institute of Virology ,Maharashtra,Pune,"D/o Health Research, M/o Health and Family Welfare"
20,R-10020,INSTITUTE OF PESTICIDE FORMULATION TECHNOLOGY,Haryana,Gurugram,Ministry of Chemicals & Fertilizers
21,R-10021,Madras Institute of Development Studies,Tamil Nadu,Chennai,Ministry of Education
22,R-10022,INSTITUTE FOR HUMAN DEVELOPMENT,Delhi,South East,"D/o Scientific and Industrial Research, M/o Science and Technology"
23,R-10023,"Centre for Studies in Social Sciences, Calcutta",West Bengal,Kolkata,Ministry of Education
24,R-10024,Institute for Studies in Industrial Development,Delhi,South West,Ministry of Education
25,R-10025,ICAR Central Marine Fisheries Research Institute,Kerala,Ernakulam,Ministry of Agriculture and Farmers Welfare
26,R-10026,Centre for Women's Development Studies,Delhi,New Delhi,Ministry of Education
27,R-10027,NATIONAL CENTRE FOR CELL SCIENCE,Maharashtra,Pune,"D/o Biotechnology, M/o Science and Technology"
28,R-10028,National Remote Sensing Centre,Telangana,Hyderabad,Dept of Space
29,R-10029,North Eastern Space Applications Centre,Meghalaya,Ri Bhoi,Dept of Space
30,R-10030,Vikram Sarabhai Space Centre,Kerala,Thiruvananthapuram,Dept of Space
31,R-10031,Liquid Propulsion Systems Centre Valimala,Kerala,Thiruvananthapuram,Dept of Space
32,R-10032,ISRO Telemetry Tracking and Command Network,Karnataka,Bengaluru Urban,Dept of Space
