Aishe Code,Name,State,District,Year Of Establishment,Location,Standalone Type,Manegement
S-25416,ACADEMIC DIVISION OF NCHMCT,Uttar Pradesh,Gautam Buddha Nagar,-,Urban,Hotel Management and Catering,Central Government
S-19420,AMBALA INSTITUTE OF HOTEL MANAGEMENT,Haryana,Ambala,2019,Rural,Hotel Management and Catering,Private Un-Aided
S-20119,ASHOKA INSTITUTE OF HOTEL MANAGEMENT,Jharkhand,Giridih,-,Urban,Hotel Management and Catering,Private Un-Aided
S-17782,ASHOK INSTITUTE OF HOSPITALITY AND TOURISM MANAGEMENT,Delhi,New Delhi,-,Urban,Hotel Management and Catering,Central Government
S-18343,CHANDIGARH INSTITUTE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY,Chandigarh,Chandigarh,1972,Urban,Hotel Management and Catering,State Government
S-22022,CHITKARA SCHOOL OF HOSPITALITY,Punjab,Patiala,-,Rural,Hotel Management and Catering,Private Un-Aided
S-27153,CII INSTITUTE OF HOSPITALITY,Haryana,Gurugram,2021,Urban,Hotel Management and Catering,Private Un-Aided
S-19590,DELHI INSTITUTE OF HOTEL MANAGEMENT,Delhi,South East,1983,Rural,Hotel Management and Catering,Central Government
S-20357,DEWAN VS INSTITUTE OF HOTEL MANAGEMENT,Uttar Pradesh,Meerut,2018,Urban,Hotel Management and Catering,Private Un-Aided
S-18344,DR. AMBEDKAR INSTITUTE OF HOTEL MANAGEMENT CATERING AND NUTRITION,Chandigarh,Chandigarh,1990,Urban,Hotel Management and Catering,Central Government
S-22570,DR YSR NATIONAL INSTITUTE OF TOURISM AND HOSPITALITY MANAGEMENT,Telangana,Ranga Reddy,-,Urban,Hotel Management and Catering,State Government
S-20963,FHRAI INSTITUTE OF HOSPITALITY MANAGEMENT,Uttar Pradesh,Gautam Buddha Nagar,-,Urban,Hotel Management and Catering,Private Un-Aided
S-22104,"FOOD CRAFT INSTITIUTE, KOZHIKODE",Kerala,Kozhikode,-,Urban,Hotel Management and Catering,State Government
S-18391,FOOD CRAFT INSTITUTE,Jammu and Kashmir,Jammu,2008,Rural,Hotel Management and Catering,State Government
S-18392,FOOD CRAFT INSTITUTE AJMER,Rajasthan,Ajmer,-,Urban,Hotel Management and Catering,Central Government
S-18390,FOOD CRAFT INSTITUTE ALIGARH,Uttar Pradesh,Aligarh,1984,Urban,Hotel Management and Catering,State Government
S-22110,"FOOD CRAFT INSTITUTE ,CHERTHALA",Kerala,Alappuzha,-,Urban,Hotel Management and Catering,State Government
S-25009,FOOD CRAFT INSTITUTE - DEOGARH  ,Jharkhand,Deoghar,-,Rural,Hotel Management and Catering,State Government
S-22098,FOOD CRAFT INSTITUTE KALAMASSERY,Kerala,Ernakulam,-,Urban,Hotel Management and Catering,State Government
S-22100,"FOOD CRAFT INSTITUTE, KANNUR",Kerala,Kannur,-,Urban,Hotel Management and Catering,State Government
S-17935,FOOD CRAFT INSTITUTE (KARNATAKA) SOCIETY,Karnataka,Mysuru,2010,Urban,Hotel Management and Catering,State Government
S-19416,FOOD CRAFT INSTITUTE KHAJURAHO,Madhya Pradesh,Chhatarpur,2016,Urban,Hotel Management and Catering,State Government
S-22102,"FOOD CRAFT INSTITUTE, KOLLAM",Kerala,Kollam,-,Urban,Hotel Management and Catering,State Government
S-22103,FOOD CRAFT INSTITUTE KOTTAYAM,Kerala,Kottayam,-,Rural,Hotel Management and Catering,State Government
S-22107,FOOD CRAFT INSTITUTE PALAKKAD,Kerala,Palakkad,-,Rural,Hotel Management and Catering,State Government
S-22106,"FOOD CRAFT INSTITUTE, PERINTHALMANNA",Kerala,Malappuram,-,Rural,Hotel Management and Catering,State Government
S-22028,FOOD CRAFT INSTITUTE REWA,Madhya Pradesh,Rewa,-,Urban,Hotel Management and Catering,State Government
S-19418,FOOD CRAFT INSTITUTE SUMERPUR,Rajasthan,Pali,2018,Urban,Hotel Management and Catering,State Government
S-22108,"FOOD CRAFT INSTITUTE, THIRUVANANTHAPURAM",Kerala,Thiruvananthapuram,-,Urban,Hotel Management and Catering,State Government
S-22099,"FOOD CRAFT INSTITUTE, THODUPUZHA",Kerala,Idukki,-,Rural,Hotel Management and Catering,State Government
S-22109,FOOD CRAFT INSTITUTE  THRISSUR,Kerala,Thrissur,-,Urban,Hotel Management and Catering,State Government
S-22105,"FOOD CRAFT INSTITUTE, TIRUR",Kerala,Malappuram,-,Urban,Hotel Management and Catering,State Government
