Aishe Code,Name,State,District,Year Of Establishment,Location,Standalone Type,Manegement
S-18383,AADHAR COLLEGE OF NURSING SAILANA,Madhya Pradesh,Ratlam,-,Rural,Nursing,Private Un-Aided
S-18110,Aadhar Nursing School,Maharashtra,Kolhapur,2008,Rural,Nursing,Private Un-Aided
S-21940,AADITRI INSTITUTE OF MEDICAL SCIENCE,Odisha,Balangir,-,Urban,Nursing,Private Un-Aided
S-20528,"AADITRI INSTITUTE OF MEDICAL SCIENCE, Dharmagard",Odisha,Kalahandi,2021,Urban,Nursing,Private Un-Aided
S-24535,AAHWAAN INSTITUTE OF HEALTH SCIENCE,Odisha,Bhadrak,-,Rural,Nursing,Private Un-Aided
S-17888,"Aai Institute Of Nursing,Gangakhed, Parbhani",Maharashtra,Parbhani,2011,Rural,Nursing,Private Un-Aided
S-24946,AAI PANCHFULA INSTITUTE OF NURSING,Maharashtra,Nagpur,-,Urban,Nursing,Private Un-Aided
S-17824,AAISAHEB JAYABAI GNM NURSING SCHOOL PATHRAI,Maharashtra,Nandurbar,2011,Rural,Nursing,Private Un-Aided
S-20425,AAI TULJABHAVANI  SEVABHAVI SANSTHA RAJMUDRA ANM NURSING SCHOOL NANDED,Maharashtra,Nanded,2021,Rural,Nursing,Private Un-Aided
S-20424,AAI TULJABHAVANI  SEVABHAVI SANSTHA RAJMUDRA GNM NURSING SCHOOL NANDED,Maharashtra,Nanded,2021,Rural,Nursing,Private Un-Aided
S-25990,"AAI VATSALA SCHOOL OF NURSING RALEGAON, YAVATMAL    ",Maharashtra,Yavatmal,2024,Rural,Nursing,Private Un-Aided
S-25989,"AAI VATSALA SCHOOL OF NURSING, SEWAGRAM WARDHA    ",Maharashtra,Wardha,2024,Rural,Nursing,Private Un-Aided
S-15347,"AAKAR SCHOOL OF NURSING HINGNA, NAGPUR",Maharashtra,Nagpur,2011,Rural,Nursing,Private Un-Aided
S-25713,AAROGYAM COLLEGE OF MEDICAL SCIENCE,Jharkhand,Dhanbad,2024,Urban,Nursing,Private Un-Aided
S-17102,Aarogyam Nursing College,Uttarakhand,Haridwar,2015,Rural,Nursing,Private Un-Aided
S-19702,AARYADEEP INSITUTE OF NURSING MESAN,Gujarat,Sabar Kantha,2020,Rural,Nursing,Private Aided (Government Aided)
S-21023,AARYA NURSING COLLEGE,Gujarat,Kachchh,2021,Urban,Nursing,Private Un-Aided
S-19799,AARYA SCHOOL OF NURSING,Karnataka,Bengaluru Urban,2010,Rural,Nursing,Private Un-Aided
S-25234,"AARYA SCHOOL OF NURSING, WASHIM",Maharashtra,Washim,-,Urban,Nursing,Private Un-Aided
S-26841,AASHA SCHOOL OF NURSING,Karnataka,Bidar,2021,Urban,Nursing,Private Un-Aided
S-25556,AASHI NURSING SCHOOL,Jharkhand,Palamu,-,Rural,Nursing,Private Un-Aided
S-18293,AASTHA NURSING COLLEGE,Uttar Pradesh,Kanpur Nagar,2018,Rural,Nursing,Private Un-Aided
S-17813,"Aastha School of Nursing,Osmanabad",Maharashtra,Dharashiv,2011,Urban,Nursing,Private Un-Aided
S-20601,AAYAM SCHOOL OF NURSING NARSINGHPUR,Madhya Pradesh,Narsimhapur,2012,Urban,Nursing,State Government
S-15488,"Aayushman college of nursing, Ranapur",Madhya Pradesh,Jhabua,-,Rural,Nursing,Private Aided (Government Aided)
S-20665,AAYUSHMAN SCHOOL OF NURSING JHABUA,Madhya Pradesh,Jhabua,-,Rural,Nursing,Private Un-Aided
S-22229,AAYUSH MEDICAL INSTITUTE,Gujarat,Valsad,-,Rural,Nursing,Private Un-Aided
S-14124,"ABAYA SCHOOL OF NURSING, BANGALORE",Karnataka,Bengaluru Urban,2008,Urban,Nursing,Private Un-Aided
S-21932,ABDUL KASHEM INSTITUTE OF NURSING,West Bengal,Hooghly,-,Rural,Nursing,Private Un-Aided
S-4421,ABDUL WAHAB MEMORIAL RAJAH SCHOOL OF NURSING THRISSUR,Kerala,Thrissur,2001,Urban,Nursing,Private Un-Aided
S-17987,Abhinav Nursing School,Maharashtra,Ahilyanagar,2011,Urban,Nursing,Private Aided (Government Aided)
S-17046,ABHINAV SCHOOL OF NURSING,Maharashtra,Sangli,2005,Rural,Nursing,Private Un-Aided
S-15532,ABIGAIL CHRISTIAN NURSING INSTITUTE,Punjab,Pathankot,-,Rural,Nursing,Private Un-Aided
S-3906,ABU KARNATAKA SCHOOL OF NURSING GULBARGA,Karnataka,Kalaburagi,2004,Urban,Nursing,Private Un-Aided
S-19239,ABYUDAYA  SCHOOL OF NURSING,Telangana,Khammam,2013,Rural,Nursing,Private Un-Aided
S-23284,ACE SCHOOL OF NURSING,Karnataka,Bidar,2021,Rural,Nursing,Private Un-Aided
S-15490,Acharya Harihara Anm Training School,Odisha,Dhenkanal,2011,Rural,Nursing,Private Un-Aided
S-3876,"ACHARYA SHRI CHANDER INSTITUTE OF NURSING, JAMMU",Jammu and Kashmir,Jammu,1999,Rural,Nursing,Private Un-Aided
S-24004,ACHARYA VINOBA BHAVE NURSING COLLEGE KATOL,Maharashtra,Nagpur,-,Rural,Nursing,Private Un-Aided
S-17047,ACHARYA VINOBA BHAVE NURSING SCHOOL KATOL,Maharashtra,Nagpur,2011,Rural,Nursing,Private Un-Aided
S-19196,ACHUTHA SCHOOL OF NURSING,Karnataka,Bengaluru Urban,-,Urban,Nursing,Private Un-Aided
S-21716,ACME INSTITUTE OF MEDICAL SCIENCES,Uttar Pradesh,Bareilly,-,Urban,Nursing,Private Un-Aided
S-20907,ACQUARIOUS PUBLIC EDUCATION SOCIETY NAGPUR ACQUARIOUS SCHOOL OF NURSING KUDWA,Maharashtra,Gondia,2021,Rural,Nursing,Private Un-Aided
S-24212,ADARSH ANM GNM  NURSING SCHOOL BASMAT,Maharashtra,Hingoli,-,Rural,Nursing,Private Un-Aided
S-22400,ADARSH GNM COLLEGE OF NURSING BHABHAR,Gujarat,Banas Kantha,-,Rural,Nursing,Private Un-Aided
S-5049,ADARSH NURSING INSTITUTE CHURU,Rajasthan,Churu,-,-,Nursing,-
S-19446,ADARSH NURSING SCHOOL DHANERA,Gujarat,Banas Kantha,2020,Urban,Nursing,Private Un-Aided
S-17823,"Adarsh Nursing School, Vita",Maharashtra,Sangli,2006,Rural,Nursing,Private Un-Aided
S-21623,ADARSH SCHOOL OF NURSING,Haryana,Mahendragarh,-,Rural,Nursing,Private Un-Aided
S-20840,ADARSH SCHOOL OF NURSING,Haryana,Rohtak,2008,Rural,Nursing,Private Un-Aided
S-13076,"ADDANKI PRABHUDAS AND SUJANAMMA MEMORIAL SCHOOL OF NURSING, OGMOJI CAMPUS, 31-1-35 AM TRUNK ROAD, PRAKASAM",Andhra Pradesh,Prakasam,2004,Urban,Nursing,Private Un-Aided
S-26788,ADELINE SCHOOL OF NURSING,Karnataka,Bengaluru Urban,2021,Urban,Nursing,Private Un-Aided
S-3910,ADICHUNCHANGIRI INSTITUTE OF NURSING MANDYA,Karnataka,Mandya,1991,Rural,Nursing,Private Un-Aided
S-25485,ADITYA COLLEGE OF NURSING,Maharashtra,Beed,-,Rural,Nursing,Private Un-Aided
S-25484,ADITYA INSTITUTE OF NURSING AND PARAMEDICAL,Maharashtra,Beed,-,Rural,Nursing,Private Un-Aided
S-19440,ADITYA INSTITUTE OF NURSING KESHOD,Gujarat,Junagadh,2020,Urban,Nursing,Private Un-Aided
S-27213,"ADITYA NAGRAJ CHAIRITABLE TRUST, DHANWANTARI NURSING SCHOOL",Maharashtra,Parbhani,2011,Urban,Nursing,Private Un-Aided
S-27184,ADITYA SCHOOL OF NURSING,Rajasthan,Jalore,2025,Rural,Nursing,Private Un-Aided
S-19786,ADITYA SCHOOL OF NURSING,Karnataka,Bengaluru Urban,2018,Urban,Nursing,Private Un-Aided
S-3449,ADITYA SCHOOL OF NURSING EAST GODAWARI,Andhra Pradesh,East Godavari,2003,Urban,Nursing,Private Un-Aided
S-3450,ADITYA SCHOOL OF NURSING HYDERABAD,Telangana,Hyderabad,2003,Urban,Nursing,Private Un-Aided
S-13117,"ADITYA SCHOOL OF NURSING, KADAPA, CUDDAPAH",Andhra Pradesh,Y.S.R. Kadapa,2012,Rural,Nursing,Private Un-Aided
S-21196,ADITYA SHIKSHAN AND PRASHIKSHAN SANSTHAN CAMBRIDGE SCHOOL OF NURSING,Rajasthan,Barmer,2021,Urban,Nursing,Private Un-Aided
S-15973,ADIVASI INSTITUTE OF NURSING,Gujarat,Chhotaudepur,2015,Rural,Nursing,Private Un-Aided
S-13254,"A D R MEMORIAL SCHOOL OF NURSING, SHARADANAGAR, HYDERABAD",Telangana,Ranga Reddy,2012,Rural,Nursing,Private Un-Aided
S-22050,ADWAIT NURSING COLLEGE JASARA,Gujarat,Banas Kantha,-,Rural,Nursing,Private Un-Aided
