Aishe Code,Name,State,District,Year Of Establishment,Location,Standalone Type,Manegement
S-26863,AADHYA INTEGRATED INSTITUTE OF MANAGEMENT STUDIES,Kerala,Malappuram,2025,Rural,PGDM Institutes,Private Un-Aided
S-133,ABBS School of Management,Karnataka,Bengaluru Urban,2009,Urban,PGDM Institutes,Private Un-Aided
S-339,ACCMAN INSTITUTE OF MANAGEMENT,Uttar Pradesh,Gautam Buddha Nagar,-,Urban,PGDM Institutes,-
S-16774,ACCURATE INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Uttar Pradesh,Gautam Buddha Nagar,2006,Urban,PGDM Institutes,Private Un-Aided
S-134,ACHARYA SCHOOL OF MANAGEMENT,Karnataka,Bengaluru Rural,2009,Urban,PGDM Institutes,Private Un-Aided
S-26339,"ADANI INSTITUTE OF DIGITAL TECHNOLOGY MANAGEMENT, GANDHINAGAR",Gujarat,Gandhinagar,2020,Rural,PGDM Institutes,Private Un-Aided
S-19471,ADARSH COLLEGE OF MANAGEMENT BHOPAL,Madhya Pradesh,Bhopal,-,Rural,PGDM Institutes,Private Un-Aided
S-1,ADMINISTRATIVE STAFF COLLEGE OF INDIA,Telangana,Hyderabad,1956,Urban,PGDM Institutes,Private Aided (Government Aided)
S-22427,"AFFINITY BUSINESS SCHOOL,BARATOTA",Odisha,Khordha,-,Rural,PGDM Institutes,Private Un-Aided
S-18169,Agriculture and Food Management Institute,Karnataka,Mysuru,-,Rural,PGDM Institutes,Private Un-Aided
S-135,AGRICULTURE AND FOOD MANAGEMENT INSTITUTE,Karnataka,Mysuru,-,-,PGDM Institutes,-
S-19939,AHMEDABAD INSTITUTE OF HOSPITALITY MANAGEMENT,Gujarat,Ahmedabad,2021,Rural,PGDM Institutes,Private Un-Aided
S-25999,ALDEL INSTITUTE OF MANAGEMENT,Maharashtra,Palghar,2024,Urban,PGDM Institutes,Private Un-Aided
S-2,ALWAR SCHOOL OF BUSINESS AND COMPUTERS,Andhra Pradesh,Visakhapatnam,2008,Urban,PGDM Institutes,Private Un-Aided
S-496,AMBEDKAR INSTITUTE OF MANAGEMENT STUDIES,Andhra Pradesh,Visakhapatnam,1995,Rural,PGDM Institutes,Private Un-Aided
S-20582,AMBIKA COLLEGE OF MANAGEMENT,Madhya Pradesh,Gwalior,2020,Urban,PGDM Institutes,Private Aided (Government Aided)
S-19483,ANSH COLLEGE OF MANAGEMENT,Madhya Pradesh,Gwalior,2020,Urban,PGDM Institutes,Private Un-Aided
S-20819,APEEJAY INSTITUTE OF MASS COMMUNICATION,Delhi,South West,2003,Urban,PGDM Institutes,Private Un-Aided
S-757,APEEJAY SCHOOL OF MANAGEMENT,Delhi,South West,1993,Urban,PGDM Institutes,Private Un-Aided
S-21007,ASHAA KIRANN BUSINESS SCHOOL,Odisha,Khordha,-,Rural,PGDM Institutes,Private Un-Aided
S-22571,ASHOKA SCHOOL OF BUSINESS,Telangana,YADADRI BHUVANAGIRI,-,Rural,PGDM Institutes,Private Un-Aided
S-14545,ASIAN BUSINESS SCHOOL,Uttar Pradesh,Gautam Buddha Nagar,2011,Urban,PGDM Institutes,Private Un-Aided
S-53,ASIA-PACIFIC INSTITUTE OF MANAGEMENT,Delhi,South,1996,Urban,PGDM Institutes,Private Un-Aided
S-17686,"ASMs Institute of Business Management and Research(PGDM), Pune",Maharashtra,Pune,2018,Urban,PGDM Institutes,Private Un-Aided
S-14905,Assam Institute of Management,Assam,Kamrup Metro,1988,Urban,PGDM Institutes,State Government
S-20876,ATHARVA SCHOOL OF BUSINESS,Maharashtra,Mumbai Suburban,2020,Urban,PGDM Institutes,Private Un-Aided
S-19657,ATLAS IDEAL INTERNATIONAL COLLEGE,Kerala,Malappuram,-,Rural,PGDM Institutes,Private Un-Aided
S-23201,"AUREOLE SCHOOL OF BUSINESS  MANAGEMENT, PUNE",Maharashtra,Pune,2018,Rural,PGDM Institutes,Private Un-Aided
S-21108,AURORAS BUSINESS SCHOOL,Telangana,Hyderabad,-,Urban,PGDM Institutes,Private Un-Aided
S-23812,AURORA S MANAGEMENT ACADEMY,Telangana,Hyderabad,-,Urban,PGDM Institutes,Private Un-Aided
S-23811,AURORAS SCHOOL OF BUSINESS STUDIES,Telangana,MEDCHAL MALKAJGIRI,-,Urban,PGDM Institutes,Private Un-Aided
S-349,AUROUS INSTITUTE OF MANAGEMENT,Uttar Pradesh,Bara Banki,2010,Rural,PGDM Institutes,Private Aided (Government Aided)
S-26658,AVANTHIS SCHOOL OF BUSINESS  MANAGEMENT,Telangana,Hyderabad,2022,Urban,PGDM Institutes,Private Un-Aided
S-25819,BADRUKA SCHOOL OF MANAGEMENT ,Telangana,MEDCHAL MALKAJGIRI,2024,Rural,PGDM Institutes,Private Un-Aided
S-19644,BAFNA COLLEGE,Madhya Pradesh,Jhabua,-,Urban,PGDM Institutes,Private Un-Aided
S-26206,BANDHAN SCHOOL OF BUSINESS,West Bengal,Birbhum,2024,Rural,PGDM Institutes,Private Un-Aided
S-20813,BANGALORE MANAGEMENT INSTITUTE,Karnataka,Bengaluru Urban,-,Urban,PGDM Institutes,Private Un-Aided
S-19659,BHAGWATI INSTITUTE OF PROFESSIONAL STUDIES,Uttar Pradesh,Ghaziabad,2020,Urban,PGDM Institutes,Private Un-Aided
S-54,BHARATIYA VIDYA BHAVAN'S USHA AND LAKSHMI MITTAL INSTITUTE OF MANAGEMENT,Delhi,Central,-,Urban,PGDM Institutes,Central Government
S-14751,"BHAVAN'S CENTRE FOR COMMUNICATION AND MANAGEMENT, KHARVELANAGAR",Odisha,Khordha,2006,Urban,PGDM Institutes,Private Un-Aided
S-16675,BHAVAN S PRIYAMVADA BIRLA INSTITUTE OF MANAGEMENT,Karnataka,Mysuru,2011,Urban,PGDM Institutes,Private Un-Aided
S-20278,BHUBANESWAR INSTITUTE OF MANAGEMENT STUDIES,Odisha,Khordha,2021,Rural,PGDM Institutes,Private Un-Aided
S-354,BIRLA INSTITUTE OF MANAGEMENT TECHNOLOGY,Uttar Pradesh,Gautam Buddha Nagar,1988,Urban,PGDM Institutes,Private Un-Aided
S-14546,BUNTS SANGHA'S UMA KRISHNA SHETTY INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,Maharashtra,Mumbai,2012,Urban,PGDM Institutes,Private Un-Aided
S-484,CALCUTTA BUSINESS SCHOOL,West Bengal,North 24 Parganas,2013,Urban,PGDM Institutes,Private Un-Aided
S-198,CENTRE FOR ADVANCED EDUCATION INSTITUTE OF MANAGEMENT TECHNOLOGY,Maharashtra,Nagpur,2004,Rural,PGDM Institutes,Private Un-Aided
S-7,CENTRE FOR MANAGEMENT AND TECHNOLOGY (CMT),Andhra Pradesh,Visakhapatnam,2010,Urban,PGDM Institutes,Private Un-Aided
S-40,CHANDRAGUPT INSTITUTE OF MANAGEMENT PATNA,Bihar,Patna,2008,Urban,PGDM Institutes,State Government
S-19567,CH CHARAN SINGH NATIONAL INSTITUTE OF AGRICULTURAL MARKETING,Rajasthan,Jaipur,1988,Urban,PGDM Institutes,Central Government
S-200,CHETANA'S INSTITUTE OF MANAGEMENT AND RESEARCH,Maharashtra,Mumbai Suburban,1996,Urban,PGDM Institutes,Private Un-Aided
S-14904,Christ Institute of Management,Uttar Pradesh,Ghaziabad,2014,Urban,PGDM Institutes,Private Un-Aided
S-360,C-MAT BUSINESS SCHOOL,Uttar Pradesh,Gautam Buddha Nagar,2010,Urban,PGDM Institutes,Private Un-Aided
S-139,DAYANANDA SAGAR BUSINESS SCHOOL,Karnataka,Bengaluru Urban,2007,Urban,PGDM Institutes,Private Un-Aided
S-22465,DC BUSINESS SCHOOL,Madhya Pradesh,Indore,-,Urban,PGDM Institutes,Private Un-Aided
S-20408,DELHI SCHOOL OF BUSINESS,Delhi,North West,2012,Urban,PGDM Institutes,Private Un-Aided
S-14886,DES Institute of Management Development and Research,Maharashtra,Pune,1974,Urban,PGDM Institutes,Private Un-Aided
S-15033,Development Management Institute,Bihar,Patna,2014,Urban,PGDM Institutes,Private Un-Aided
S-366,DEWAN V.S. INSTITUTE OF MANAGEMENT,Uttar Pradesh,Meerut,-,Urban,PGDM Institutes,-
S-17659,Dhruva College of Management,Telangana,MEDCHAL MALKAJGIRI,-,Urban,PGDM Institutes,Private Aided (Government Aided)
S-482,DOON BUSINESS SCHOOL GLOBAL,Uttarakhand,Dehradun,2009,Urban,PGDM Institutes,Private Un-Aided
S-16736,DR. D. Y. PATIL B-SCHOOL,Maharashtra,Pune,2017,Urban,PGDM Institutes,Private Un-Aided
S-22466,DR D Y PATIL PRATISHTHANS D Y PATIL PGDM INSTITUTE AKURDI PUNE,Maharashtra,Pune,-,Urban,PGDM Institutes,Private Un-Aided
S-368,DR.GAUR HARI SINGHANIA INSTITUTE OF MANGEMENT AND RESEARCH,Uttar Pradesh,Kanpur Nagar,1995,Urban,PGDM Institutes,Private Un-Aided
S-20736,DR MAR THEOPHILUS INSTITUTE OF MANAGEMENT STUDIES,Maharashtra,Thane,2021,Urban,PGDM Institutes,Private Un-Aided
S-19698,DURGADEVI SARAF GLOBAL BUSINESS SCHOOL,Maharashtra,Mumbai Suburban,2011,Urban,PGDM Institutes,Private Un-Aided
S-25818,DUXFORD INTERNATIONAL BUSINESS SCHOOL    ,Kerala,Malappuram,2023,Rural,PGDM Institutes,Private Un-Aided
S-12,ENGINEERING STAFF COLLEGE OF INDIA,Telangana,Hyderabad,2008,Urban,PGDM Institutes,Private Un-Aided
S-19107,Entreneurship  Management Processes International New Delhi,Delhi,South,1995,Urban,PGDM Institutes,Private Un-Aided
S-88,ENTREPRENEURSHIP DEVELOPMENT INSTITUTE OF INDIA,Gujarat,Gandhinagar,1983,Rural,PGDM Institutes,Private Un-Aided
S-21486,EVERGREEN EDUCATION SOCIETY COLLEGE KIWLARI SOHAGPUR,Madhya Pradesh,Narmadapuram,-,Rural,PGDM Institutes,Private Un-Aided
S-19661,EXCEL BUSINESS SCHOOL INDORE,Madhya Pradesh,Indore,-,Rural,PGDM Institutes,Private Un-Aided
S-16927,Firebird Institute of Research in Management,Tamil Nadu,Coimbatore,2017,Rural,PGDM Institutes,Private Un-Aided
S-17630,"Food and Agri Business School PGDM (ABM) , Sagar Group of Institutions",Telangana,Ranga Reddy,2009,Rural,PGDM Institutes,Private Un-Aided
S-62,FORE SCHOOL OF MANAGEMENT,Delhi,South,1994,Urban,PGDM Institutes,Private Un-Aided
S-770,FORTUNE INSTITUTE OF INTERNATIONAL BUSINESS,Delhi,South,1995,Urban,PGDM Institutes,Private Aided (Government Aided)
S-766,FOSTIIMA Business School,Delhi,South West,2010,Urban,PGDM Institutes,Private Un-Aided
