Aishe Code,Name,State,District,Year Of Establishment,Location,Standalone Type,Manegement
S-7671,21ST CENTURY INTERNATIONAL SCHOOL TRUST KANJIRANGAL,Tamil Nadu,Sivaganga,2007,Rural,Teacher Training,Private Un-Aided
S-20021,AADHAR COLLEGE OF SPECIAL EDUCATION,Haryana,Hisar,2018,Rural,Teacher Training,Private Un-Aided
S-22346,AADHAR SPECIAL B ED COLLEGE,Rajasthan,Jaipur,-,Rural,Teacher Training,Private Un-Aided
S-20951,AADINATH ACADEMY,Madhya Pradesh,Panna,2016,Rural,Teacher Training,Private Un-Aided
S-8996,AADIVASI SHIKSHAN VIKAS PRASARAK MANDAL SHIVPRASAD D. ED . COLLEGE NARSI ROAD MUKHED NANDE,Maharashtra,Nanded,2009,Urban,Teacher Training,Local Body
S-21905,AAINA SPECIAL TEACHER TRANING INSTITUTE,Rajasthan,Jaipur,-,Rural,Teacher Training,Private Un-Aided
S-23539,AAKANKSHA INSTITUTE OF TEACHER EDUCATION,Uttar Pradesh,Muzaffarnagar,2017,Rural,Teacher Training,Private Un-Aided
S-24095,AAKANKSHA INSTITUTE OF TEACHER EDUCATION,Uttar Pradesh,Muzaffarnagar,-,Rural,Teacher Training,Private Un-Aided
S-10996,AAKAR ADHYAPAN MANDIR OGNAJ,Gujarat,Ahmedabad,-,-,Teacher Training,-
S-17947,Aaryan College of Education,Delhi,South West,2017,Urban,Teacher Training,Private Un-Aided
S-25704,AASTHA INSTITUTE FOR DIVYANGJAN,Haryana,Bhiwani,2023,Rural,Teacher Training,Private Un-Aided
S-16744,"AASTHA SPECIAL SCHOOL NAHAN, SIRMOUR",Himachal Pradesh,Sirmaur,1996,Rural,Teacher Training,Private Aided (Government Aided)
S-8998,ABASAHEB KAKADE SHIKSHAN SHASTRA MAHAVIDYALYA NAV MAHARASHTRA SHIKSHAN MANDAL SHEVGAON AHMEDNAGAR,Maharashtra,Ahilyanagar,2007,Rural,Teacher Training,Private Un-Aided
S-14641,"ABDUL KALAM D ED COLLEGE, Plot No. 429/9, NS Road, LINGAPOOR (V), Kamareddy, Nizamabad District",Telangana,Nizamabad,2012,Rural,Teacher Training,Private Un-Aided
S-6937,ABDUL SALAM TEACHER TRAINING INSTITUTE KOLLAM,Kerala,Kollam,-,Rural,Teacher Training,Private Aided (Government Aided)
S-18403,Abdur Rahaman PTTI,West Bengal,Murshidabad,2014,Rural,Teacher Training,Private Un-Aided
S-23895,ABHAY COLLEGE OF EDUCATION CHAUBEYPUR KHURD VARANASI,Uttar Pradesh,Varanasi,-,Rural,Teacher Training,Private Un-Aided
S-22217,ABHAYDEEP DIVYANG SHIKSHAN PRASHIKSHAN SANSTHAN,Uttar Pradesh,Varanasi,-,Rural,Teacher Training,Private Un-Aided
S-25429,ABHAY PRATAP SINGH INTERNATIONAL SCHOOL SHAHZADPUR BAHADURPUR KHAGA FATEHPUR,Uttar Pradesh,Fatehpur,-,Rural,Teacher Training,Private Un-Aided
S-6213,ABHILASHI JBT TRAINING INSTITUTE MANDI,Himachal Pradesh,Mandi,2003,Urban,Teacher Training,Private Un-Aided
S-15124,"ABHINAV EDUCATION SOCIETY ADHYAPAK VIDYALAYA, Ambegaon Budruk, Katraj, Pune 411046",Maharashtra,Pune,2005,Urban,Teacher Training,Private Un-Aided
S-23980,ABHISHRI COLLEGE OF TEACHING AND TRAINING,Uttar Pradesh,Gonda,-,Rural,Teacher Training,Private Un-Aided
S-6938,ABRAHAM MALPAN MEMORIAL TEACHER TRG INSTITUTE PATHANAMTHITTA,Kerala,Pathanamthitta,1938,Rural,Teacher Training,Private Aided (Government Aided)
S-24513,A B R L B T C TRAINING COLLEGE GHITHINI SANT KABIR NAGAR,Uttar Pradesh,Sant Kabir Nagar,-,Rural,Teacher Training,Private Un-Aided
S-17938,A.B.V.M. College of Education,Madhya Pradesh,Bhind,2018,Rural,Teacher Training,Private Un-Aided
S-18398,ABVM Group Of College,Madhya Pradesh,Bhind,2012,Rural,Teacher Training,Private Un-Aided
S-19996,ACE EDUCATION INSTITUTE,Uttar Pradesh,Agra,2010,Rural,Teacher Training,Private Un-Aided
S-24501,ACHARYA BALDEV SANSTHAN KOPA PATRAHI JAUNPUR,Uttar Pradesh,Jaunpur,-,Rural,Teacher Training,Private Un-Aided
S-12620,"ACHARYA D.ED. COLLEGE, BANGALORE",Karnataka,Bengaluru Urban,2006,Rural,Teacher Training,Private Un-Aided
S-23913,ACHARYA NARAYANA COLLEGE MEERPUR PRATAPPUR BELWAI SULTANPUR,Uttar Pradesh,Sultanpur,-,Rural,Teacher Training,Private Un-Aided
S-15887,ACHARYA NARENDRA DEV COLLEGE RITHOUNIYA KAILARAS,Madhya Pradesh,Morena,2012,Rural,Teacher Training,Private Un-Aided
S-8774,ACHARYA RAMENDRA SUNDAR PRIMARY TEACHERS TRAINING INSTITUTE BIRBHUM,West Bengal,Birbhum,2008,Rural,Teacher Training,Private Un-Aided
S-24016,"ACHARY BALDEV SANSTHAN, PLOT NO. ONE THOUSAND SIXTY FOUR, KOPA, PATA RAHI, JAUNPUR",Uttar Pradesh,Jaunpur,-,Rural,Teacher Training,Private Un-Aided
S-24369,ACMT COLLEGE,Uttar Pradesh,Firozabad,-,Urban,Teacher Training,Private Un-Aided
S-18654,ACN INSTITUTE OF TEACHING EDUCATION,Uttar Pradesh,Aligarh,2013,Rural,Teacher Training,Private Un-Aided
S-17309,ACT TEACHER TRAINING INSTITUTE,Tamil Nadu,Kancheepuram,2008,Rural,Teacher Training,Private Un-Aided
S-7688,ADAIKALAMATHA INSTITUTE OF TEACHER EDUCATION VALLAM,Tamil Nadu,Thanjavur,2007,Rural,Teacher Training,Private Un-Aided
S-9014,ADARSHA BAHUDEEESHIYA SHIKSHAN PRASARAK MANDAL SULRANPUR BULDHANA,Maharashtra,Buldhana,2007,Rural,Teacher Training,Private Un-Aided
S-13422,"ADARSHA COLLEGE OF ELEMENTARY TEACHER EDUCATION,  VENKATESHWARA COLONY, JADCHERLA, MAHABUBNAGAR -509101",Telangana,Mahabubnagar,2007,Rural,Teacher Training,Private Un-Aided
S-9006,ADARSH ADHYAPAN VIDYALAYA NEAR C. B. S. GOLE COLONY NASIK,Maharashtra,Nashik,1966,Urban,Teacher Training,Private Aided (Government Aided)
S-17437,"ADARSHA INSTITUTE OF ELEMENTARY TEACHER EDUCATION, NARAYANPET",Telangana,Mahabubnagar,2015,Urban,Teacher Training,Private Un-Aided
S-16983,ADARSH ART TEACHERS TRAINING COLLEGE,Gujarat,Arvalli,1987,Urban,Teacher Training,Private Aided (Government Aided)
S-20778,ADARSH COLLEGE OF EDUCATION,Haryana,Rohtak,2008,Rural,Teacher Training,Private Un-Aided
S-26868,ADARSH COLLEGE OF EDUCATION,Haryana,Kurukshetra,2014,Rural,Teacher Training,Private Un-Aided
S-20641,ADARSH COLLEGE OF EDUCATION DEHRA,Haryana,Panipat,2008,Rural,Teacher Training,Private Un-Aided
S-20533,ADARSH DED COLLEGE,Haryana,Rohtak,2008,Rural,Teacher Training,Private Un-Aided
S-9008,ADARSH EDUCATION SOCIETY AMALNER JALGAON,Maharashtra,Jalgaon,2008,Urban,Teacher Training,Private Un-Aided
S-22567,ADARSH GYANODAY SPECIAL EDUCATION TEACHER TRAINING COLLEGE LADNUN NAGAUR,Rajasthan,Nagaur,-,-,Teacher Training,Private Un-Aided
