Aishe Code,Name,State,District,Year Of Establishment,Location,Standalone Type,Manegement
S-1802,"1006-Government Polytechnic, Murtijapur",Maharashtra,Akola,2009,Rural,Technical/Polytechnic,State Government
S-2138,"1007-Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati",Maharashtra,Amravati,1956,Urban,Technical/Polytechnic,Local Body
S-10270,1007-SHREE SHIVAJI EDUCATION SOCIETY`S DR PUNJABRAO DESHMUKH POLYTECHNIC (UN-AIDED) AMRAVATI,Maharashtra,Amravati,2001,Urban,Technical/Polytechnic,Local Body
S-1783,"1008-Government Polytechnic, Amravati",Maharashtra,Amravati,1955,Urban,Technical/Polytechnic,State Government
S-1797,"1009-Government Polytechnic, Khamgaon",Maharashtra,Buldhana,1961,Rural,Technical/Polytechnic,State Government
S-1814,1010-GOVERNMENT POLYTECHNIC WASHIM,Maharashtra,Washim,1982,Urban,Technical/Polytechnic,State Government
S-1818,"1011-GOVERNMENT POLYTECHNIC YAVATMAL (PREVIOUSLY GOVT. RESIDENTIAL WOMENS POLYTECHNIC, YAVATMAL)",Maharashtra,Yavatmal,1994,Urban,Technical/Polytechnic,State Government
S-1769,"1014-Geetadevi Khandelwal Institute of Pharmacy, Akola",Maharashtra,Akola,1980,Urban,Technical/Polytechnic,Private Aided (Government Aided)
S-18079,"1015-Government Polytechnic , Achalpur",Maharashtra,Amravati,2017,Urban,Technical/Polytechnic,State Government
S-1865,"1115-J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Maharashtra,Yavatmal,1983,Rural,Technical/Polytechnic,Private Un-Aided
S-1753,"1139-Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Girls Polytechnic, Amravati",Maharashtra,Amravati,1983,Urban,Technical/Polytechnic,Private Un-Aided
S-2207,"1150-Swavalambi Shikshan Sanstha's Sushganga Polytechnic, Wani",Maharashtra,Yavatmal,2009,Rural,Technical/Polytechnic,Private Un-Aided
S-1900,"1151-Late Ahilyabai Kakade Bahuuddeshiya Shikshan Prasarak Mandal, Sai Polytechnic,Kinhi(J),Yavatmal",Maharashtra,Yavatmal,2009,Rural,Technical/Polytechnic,Private Un-Aided
S-1648,"1153-Adarsha Bahuuddeshiya Shikshan Prasarak Mandal, Dr. R . N. Lahoti Polytechnic, Sultanpur",Maharashtra,Buldhana,2009,Rural,Technical/Polytechnic,Private Un-Aided
