Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-0496,"Aligarh Muslim University, Aligarh",Uttar Pradesh,Aligarh,www.amu.ac.in,1875,Urban
U-0050,"Assam University, Silchar",Assam,Cachar,http://www.aus.ac.in,1994,Rural
U-0498,"Babasaheb Bhimrao Ambedkar University, Lucknow",Uttar Pradesh,Lucknow,https://www.bbau.ac.in/ ,1994,Urban
U-0500,"Banaras Hindu University, Banaras",Uttar Pradesh,Varanasi,www.bhu.ac.in,1916,Urban
U-0336,"Central Agricultural University, Imphal",Manipur,Imphal West,www.cau.ac.in,1993,Urban
U-0115,Central Sanskrit University,Delhi,West,www.sanskrit.nic.in/,1970,Urban
U-1226,Central Tribal University,Andhra Pradesh,Vizianagaram,www.ctuap.ac.in,2019,Rural
U-0252,"Central Univeristy of Kerala, Kasaragod",Kerala,Kasaragod,www.cukerala.ac.in,2009,Rural
U-0976,Central University of Andhra Pradesh,Andhra Pradesh,Ananthapuramu,https://cuap.ac.in,2018,Rural
U-0126,Central University of Gujarat,Gujarat,Vadodara,www.cug.ac.in,2009,Rural
U-0158,"Central University of Haryana, Mahendergarh",Haryana,Mahendragarh,www.cuh.ac.in,2009,Rural
U-0178,"Central University of Himachal Pradesh, Dharmshala, Kangra",Himachal Pradesh,Kangra,www.cuhimachal.ac.in,2009,Rural
U-0631,Central University of Jammu,Jammu and Kashmir,Samba,http://www.cujammu.ac.in,2011,Rural
U-0204,"Central University of Jharkhand, Ranchi",Jharkhand,Ranchi,www.cuj.ac.in,2009,Rural
U-0216,"Central University of Karnataka, Gulbarga",Karnataka,Kalaburagi,www.cuk.ac.in,2009,Rural
U-0193,"Central University of Kashmir, Srinagar",Jammu and Kashmir,Srinagar,www.cukashmir.ac.in,2009,Rural
U-0352,"Central University of Orissa, Koraput",Odisha,Koraput,www.cuo.ac.in,2009,Rural
U-0372,"Central University of Punjab, Bathhinda",Punjab,Bathinda,www.cup.edu.in,2009,Rural
U-0392,"Central University of Rajasthan, Jaipur",Rajasthan,Ajmer,www.curaj.ac.in,2009,Rural
U-0062,Central University of South Bihar,Bihar,Gaya,www.cusb.ac.in,2009,Rural
U-0449,"Central University of Tamil Nadu, Tiruvarur",Tamil Nadu,Thiruvarur,www.cutn.ac.in,2009,Rural
U-0271,"Dr. Harisingh Gaur  Vishwavidyalaya, Sagar",Madhya Pradesh,Sagar,www.dhsgsu.edu.in,1946,Urban
U-0075,"Dr Rajendra Prasad Central Agricultural University, Samastipur",Bihar,Samastipur,www.rpcau.ac.in,1970,Rural
U-0968,Gati Shakti Vishwavidyalaya,Gujarat,Vadodara,https://gsv.ac.in/,2018,Urban
U-0085,"Guru Ghasidas Vishwavidyalaya, Bilaspur",Chhattisgarh,Bilaspur,www.new.ggu.ac.in,1983,Rural
U-0557,"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal",Uttarakhand,Pauri Garhwal,www.hnbgu.ac.in,1973,Urban
U-0457,Indian Maritime University,Tamil Nadu,Chennai,https://www.imu.edu.in,2008,Urban
U-0290,"Indira Gandhi National Tribal University, Amarkantak",Madhya Pradesh,Anuppur,www.igntu.ac.in,2008,Rural
U-0108,Jamia Millia Islamia University,Delhi,South East,https://jmi.ac.in,1920,Urban
U-0109,Jawaharlal Nehru University,Delhi,South,www.jnu.ac.in,1969,Urban
U-0314,"Mahatama Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha",Maharashtra,Wardha,www.hindivishwa.org,1997,Rural
U-0835,"Mahatma Gandhi Central University, Motihari",Bihar,Purbi Champaran,www.mgcub.ac.in,2014,Urban
U-0337,"Manipur University, Imphal",Manipur,Imphal West,www.manipuruniv.ac.in,1980,Rural
U-0023,"Maulana Azad National Urdu University, Hyderabad",Telangana,Ranga Reddy,www.manuu.edu.in,1998,Urban
U-0345,"Mizoram University, Aizwal",Mizoram,Aizawl,www.mzu.edu.in,2001,Rural
U-0347,Nagaland University,Nagaland,Zunheboto,www.nagalanduniversity.ac.in,1994,Rural
U-0710,Nalanda University,Bihar,Nalanda,www.nalandauniv.edu.in,2010,Rural
U-0030,"National Sanskrit University , Tirupati",Andhra Pradesh,Chittoor,nsktu.ac.in,1961,Urban
U-1026,National Sports University,Manipur,Imphal West,www.nsu.ac.in,2018,Urban
U-0341,"North Eastern Hill University, Shillong",Meghalaya,East Khasi Hills,www.nehu.ac.in,1973,Urban
U-0369,"Pondicherry Univeristy, Puducherry",Puducherry,Puducherry,www.pondiuni.edu.in,1985,Urban
U-1117,Rajiv Gandhi National Aviation University,Uttar Pradesh,Amethi,www.rgnau.ac.in,2013,Rural
U-0047,"Rajiv Gandhi University, Itanagar",Arunachal Pradesh,Papum Pare,www.rgu.ac.in,1984,Rural
U-1198,Rani Lakshmi Bai Central Agricultural University,Uttar Pradesh,Jhansi,www.https://rlbcau.ac.in,2014,Rural
U-1402,Sammakka Sarakka Central Tribal University,Telangana,Mulugu,https://ssctu.ac.in/,-,Rural
U-0117,Shri Lal Bahadur Shastri National Sanskrit University,Delhi,South,https://www.slbsrsv.ac.in,1962,Urban
U-0430,"Sikkim  University, Gangtok",Sikkim,Gangtok,www.sikkimuniversity.ac.in,2007,Urban
U-0118,"South Asian University, New Delhi",Delhi,South,https://www.sau.int,2010,Urban
U-0056,"Tezpur University, Tezpur",Assam,Sonitpur,www.tezu.ernet.in,1994,Rural
U-0041,"The English and Foreign Languages University, Hyderabad",Telangana,Hyderabad,www.efluniversity.ac.in,1958,Urban
U-1441,Tribhuvan Sahkari University,Gujarat,Anand,,-,Urban
U-0495,"Tripura University, Agartala",Tripura,West Tripura,www.tripurauniv.ac.in,1987,Urban
U-0548,"University of Allahabad, Allahabad",Uttar Pradesh,Prayagraj,http://www.allduniv.ac.in,1887,Urban
U-0120,University of Delhi,Delhi,North,www.du.ac.in,1922,Urban
U-0042,"University of Hyderabad, Hyderabad",Telangana,Ranga Reddy,www.uohyd.ac.in,1974,Urban
U-0589,"Visva Bharati, Shantiniketan",West Bengal,Birbhum,www.visva-bharati.ac.in,1921,Rural
