Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-0444,"Avinashilingam Institute for Home Science & Higher Education for Women, Coimbatore",Tamil Nadu,Coimbatore,www.avinuty.ac.in,1957,Urban
U-0507,"Dayalbagh Educational Institute, Agra",Uttar Pradesh,Agra,www.dei.ac.in,1947,Urban
U-0296,"Deccan College Postgraduate & Research Institute, Pune",Maharashtra,Pune,www.deccancollegepune.org,1939,Urban
U-0453,"Gandhigram Rural Institute, Dindigul",Tamil Nadu,Dindigul,www.ruraluniv.ac.in,1956,Rural
U-0303,"Gokhale Institute of Politics & Economics, Pune",Maharashtra,Pune,www.gipe.ac.in,1930,Urban
U-0137,"Gujarat Vidyapith, Ahmedabad",Gujarat,Ahmedabad,,1920,
U-0556,"Gurukul Kangri Vishwavidyalaya, Haridwar",Uttarakhand,Haridwar,www.gkv.ac.in,1902,Urban
U-0107,Jamia Hamdard,Delhi,South,www.jamiahamdard.edu,1906,Urban
U-1329,Madhav Institute of Technology and Science,Madhya Pradesh,Gwalior,www.mitsgwalior.in,-,Urban
U-1425,Netaji Subhash Chandra Bose Institute of Higher Learning,Andaman and Nicobar Islands,South Andamans,nscbihl.andamannicobar.gov.in,-,Urban
U-0536,"Sam Higginbottom Institute of Agriculture, Technology & Sciences, Allahabad",Uttar Pradesh,Prayagraj,shiats.edu.in,1910,Urban
U-0331,"Tata Institute of Social Sciences, Mumbai",Maharashtra,Mumbai,www.tiss.ac.in,1936,Urban
