Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-1025,CENTRAL INSTITUTE OF BUDDHIST STUDIES,Ladakh,Leh Ladakh,www.cibs.ac.in,1959,Urban
U-0293,"Central Institute of Fisheries Education, Fishries University, Mumbai",Maharashtra,Mumbai,http://www.cife.edu.in,1961,Urban
U-0503,"Central Institute of Higher Tibetan Studies, Varanasi",Uttar Pradesh,Varanasi,https://cihts.ac.in,1967,Urban
U-1067,"CENTRAL INSTITUTE OF TECHNOLOGY, KOKRAJHAR",Assam,Kokrajhar,www.cit.ac.in,2006,Rural
U-1088,CHAITANYA (DEEMED TO BE UNIVERSITY),Telangana,Ranga Reddy,www.chaitanya.edu.in,1991,Rural
U-0297,"Defence Institute of Advanced Technology, Girinagar, Pune",Maharashtra,Pune,www.diat.ac.in,1952,Rural
U-1447,Film and Television Institute of India Pune,Maharashtra,Pune,,-,Urban
U-0553,"Forest Research Institute, Dehradun",Uttarakhand,Dehradun,www.fridu.edu.in,1991,Urban
U-0304,"Homi Bhabha National Institute, Mumbai",Maharashtra,Mumbai,www.hbni.ac.in,2005,Urban
U-0101,Indian Agricultural Research Institute (KRISHI PUSHA) New Delhi.,Delhi,New Delhi,www.iari.res.in,1905,Urban
U-1049,INDIAN ASSOCIATION FOR THE CULTIVATION OF SCIENCE,West Bengal,Kolkata,iacs.res.in,1876,Urban
U-0102,"Indian Institute of Foreign Trade, Delhi",Delhi,New Delhi,www.iift.edu,1963,Urban
U-1334,"INDIAN INSTITUTE OF FOREST MANAGEMENT, BHOPAL",Madhya Pradesh,Bhopal,www.iifm.ac.in,-,Urban
U-1340,"INDIAN INSTITUTE OF MASS COMMUNICATION, NEW DELHI",Delhi,New Delhi,www.iimc.gov.in,-,Urban
U-0220,"Indian Institute of Science, Bangalore",Karnataka,Bengaluru Urban,www.iisc.ac.in,1909,Urban
U-0255,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Kerala,Thiruvananthapuram,www.iist.ac.in,2007,Rural
U-0103,"Indian Law Institute, Bhagwandas Road, New Delhi",Delhi,New Delhi,www.ili.ac.in,1956,Urban
U-0518,"Indian Veterinary Research Institute, Izatnagar",Uttar Pradesh,Bareilly,www.ivri.nic.in,1889,Urban
U-0307,"Indira Gandhi Institute of Development Research, Mumbai",Maharashtra,Mumbai,www.igidr.ac.in,1987,Urban
U-0308,"Institute of Chemical Technology, Mumbai",Maharashtra,Mumbai,www.ictmumbai.edu.in,1933,Urban
U-0106,"Institute of Liver and Bilary Sciences, New Delhi",Delhi,South,www.ilbs.in,2002,Urban
U-0309,"International Institute for Population Sciences, Mumbai",Maharashtra,Mumbai,www.iipsindia.ac.in,1956,Urban
U-0224,"Jawaharlal Nehru Centre for Advanced Scientific Research, Banaglore",Karnataka,Bengaluru Urban,www.jncasr.ac.in,1989,Urban
U-0258,"Kerala Kalamandalam, Thrissur",Kerala,Thrissur,www.kalamandalam.ac.in,1930,Rural
U-0277,"Lakshmibai National Institute of Physical Education, Gwalior",Madhya Pradesh,Gwalior,www.lnipe.edu.in,1957,Urban
U-0170,"National Brain Research Centre, Gurgaon",Haryana,Gurugram,http://www.nbrc.ac.in/newweb/,1999,Urban
U-0171,"National Dairy  Research Institute, Karnal",Haryana,Karnal,www.ndri.res.in,1955,Urban
U-1339,National Institute of Advanced Manufacturing Technology,Jharkhand,Ranchi,www.niamt.ac.in,-,Urban
U-1359,"National Institute of Ayurveda, Rajasthan",Rajasthan,Jaipur,www.nia.nic.in,-,Urban
U-0114,National Institute of Educational Planning & Administration,Delhi,South,www.niepa.ac.in,1962,Urban
U-1394,National  Institute of Electronics and Information Technology NIELIT,Punjab,Rupnagar,nielit.gov.in,-,Rural
U-1331,"NATIONAL INSTITUTE OF TECHNICAL TEACHERS TRAINING AND RESEARCH, CHENNAI",Tamil Nadu,Chennai,www.nitttrc.ac.in,-,Urban
U-1330,National Institute of Technical Teachers Training and Research Kolkata,West Bengal,North 24 Parganas,www.nitttrkol.ac.in,-,Urban
U-1333,"NATIONAL INSTITUTE OF TECHNICAL TEACHERS' TRAINING & RESEARCH, BHOPAL",Madhya Pradesh,Bhopal,,-,Urban
U-1332,National Institute of Technical Teacher Training & Research Chandigarh,Chandigarh,Chandigarh,www.nitttrchd.ac.in,-,Urban
U-0112,National Museum Institute of History of Art Conservation and Museology,Delhi,New Delhi,www.nmi.gov.in,1989,Urban
U-0073,"Nava Nalanda Mahavihara, Nalanda",Bihar,Nalanda,www.nnm.ac.in,1951,Rural
U-0046,"North Eastern Regional Institute of Science & Technology, Papum Pare, Itanagar",Arunachal Pradesh,Papum Pare,www.nerist.ac.in,1983,Rural
U-0080,"Punjab Engineering College , Chandigarh",Chandigarh,Chandigarh,https://www.pec.ac.in,1921,Urban
U-0384,"Sant Longowal Institute of Engg. & Tech., Longowal",Punjab,Sangrur,www.sliet.ac.in,1989,Rural
U-1445,Sir J J School of Art Architecture and Design,Maharashtra,Mumbai,,-,Urban
U-0330,"Tata Institute of Fundamental Research, Mumbai",Maharashtra,Mumbai,www.tifr.res.in,1945,Urban
