Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-0434,"Academy of Maritime Education and Training, Chennai",Tamil Nadu,Chengalpattu,www.ametuniv.ac.in,1993,Rural
U-0436,"Amrita Vishwa Vidyapeetham, Coimbatore",Tamil Nadu,Coimbatore,www.amrita.edu,1994,Rural
U-1424,Audisankara University,Andhra Pradesh,Tirupati,,-,Rural
U-1324,Aurora Higher Education and Research Academy,Telangana,MEDCHAL MALKAJGIRI,https://aurora.edu.in,-,Urban
U-0389,Banasthali Vidyapith,Rajasthan,Tonk,www.banasthali.org,1935,Rural
U-0446,Bharath Institute of Higher Education & Research,Tamil Nadu,Chengalpattu,www.bharathuniv.ac.in,1984,Rural
U-0292,"Bharati Vidyapeeth, Pune",Maharashtra,Pune,www.bvuniversity.edu.in,1964,Urban
U-0202,"Birla Institute of Technology, Ranchi",Jharkhand,Ranchi,www.bitmesra.ac.in,1955,Rural
U-0391,"Birla Institute of Technology & Sciences, Pilani",Rajasthan,Jhunjhunu,www.bits-pilani.ac.in,1964,Rural
U-0214,BLDE (Deemed to be University),Karnataka,Vijayapura,www.bldedu.ac.in,1986,Urban
U-0445,B.S. Abdur Rahman Crescent Institute of Science & Technology,Tamil Nadu,Chengalpattu,www.crescent.education,1984,Urban
U-0450,"Chennai Mathematical  Institute, Chennai",Tamil Nadu,Chengalpattu,https://www.cmi.ac.in,1985,Rural
U-0451,"Chettinad Academy of Research & Education, Kancheepuram",Tamil Nadu,Chengalpattu,www.care.edu.in ,2008,Rural
U-0903,Chinmaya Vishwavidyapeeth,Kerala,Ernakulam,www.cvv.ac.in,2017,Rural
U-0217,"Christ University, Bangalore",Karnataka,Bengaluru Urban,www.christuniversity.in,1969,Urban
U-0295,Datta Meghe Institute of Higher Education & Research (Deemed to be University),Maharashtra,Nagpur,www.dmiher.edu.in,1990,Rural
U-0301,"Dr. D.Y.Patil Vidyapeeth, Pune",Maharashtra,Pune,www.dpu.edu.in,2003,Urban
U-0294,"D.Y. Patil Educational Society , Kolhapur",Maharashtra,Kolhapur,www.dypatilunikop.org,1989,Urban
U-0011,"Gandhi Institute of Technology & Management (GITAM) University, Visakhapatnam",Andhra Pradesh,Visakhapatnam,https://www.gitam.edu/,1980,Rural
U-0555,"Graphic Era University, Dehradun",Uttarakhand,Dehradun,www.geu.ac.in,1997,Urban
U-0454,"Hindustan Institute of Technology and Science, Kancheepuram",Tamil Nadu,Chengalpattu,www.hindustanuniv.ac.in,1985,Rural
U-0012,"ICFAI Foundation for Higher Education, Hyderabad",Telangana,Hyderabad,http://www.ifheindia.org,1995,Urban
U-0394,"IIS (Deemed to be University), Jaipur",Rajasthan,Jaipur,www.iisuniv.ac.in,1995,Urban
U-0396,"Institute of Advanced Studies in Education, Churu",Rajasthan,Churu,www.iaseuniversity.org.in,1953,Rural
U-0221,"International Institute of Information Technology, Bangalore",Karnataka,Bengaluru Rural,www.iiitb.ac.in,1998,Urban
U-0014,"International Institute of Information Technology, Hyderabad",Telangana,Ranga Reddy,www.iiit.ac.in,1998,Urban
U-0223,"Jain university,Bangalore",Karnataka,Bengaluru South,www.jainuniversity.ac.in,1990,Rural
U-0400,"Jain Vishva Bharati Institute, Nagaur",Rajasthan,Didwana-Kuchaman,https://jvbi.ac.in,1991,Rural
U-0402,"Janardan Rai Nagar Rajasthan Vidyapeeth,  Udaipur",Rajasthan,Udaipur,www.jrnrvu.edu.in,1937,Urban
U-0522,"Jaypee Institute of Information Technology, Noida",Uttar Pradesh,Gautam Buddha Nagar,www.jiit.ac.in,2001,Urban
U-0222,JSS ACADEMY OF HIGHER EDUCATION & RESEARCH,Karnataka,Mysuru,www.jssuni.edu.in,2008,Urban
U-0458,Kalasalingam Academy of Research and Education,Tamil Nadu,Virudhunagar,www.kalasalingam.ac.in,1984,Rural
U-0356,"Kalinga Institute of Industrial Technology, Bhubaneswar",Odisha,Khordha,www.kiit.ac.in,1997,Urban
U-1033,KALINGA INSTITUTE OF SOCIAL SCIENCES (KISS) DEEMED TO BE UNIVERSITY,Odisha,Khordha,https://university.kiss.ac.in,2017,Urban
U-0459,"Karpagam Academy of Higher Education, Coimbatore",Tamil Nadu,Coimbatore,www.kahedu.edu.in,1995,Rural
U-0460,"Karunya Institute of Technology and Sciences, Coimbatore",Tamil Nadu,Coimbatore,www.karunya.edu,1986,Rural
U-0225,"K.L.E. Academy of Higher Education and Research, Belgaum",Karnataka,Belagavi,www.kledeemeduniversity.edu.in,2006,Urban
U-0020,"Koneru Lakshmaiah Education Foundation,Guntur",Andhra Pradesh,Guntur,www.kluniversity.in,1980,Rural
U-0311,"Krishna Vishwa Vidyapeeth, Karad, Maharashtra",Maharashtra,Satara,www.kvv.edu.in,1984,Rural
U-1416,Kristu Jayanti University,Karnataka,Bengaluru Urban,www.kristujayanti.edu.in,-,Urban
U-0166,"Lingaya's Vidyapeeth, Faridabad",Haryana,Faridabad,www.lingayasvidyapeeth.edu.in,1998,Rural
U-0405,"LNM Institute of Information Technology, Jaipur",Rajasthan,Jaipur,www.lnmiit.ac.in,2002,Rural
U-1421,Madanapalle Institute of Technology and Science MITS,Andhra Pradesh,Annamayya,,-,Rural
U-0168,"Maharishi Markandeshwar University, Mullana-Ambala",Haryana,Ambala,www.mmumullana.org,2007,Rural
U-1410,Malla Reddy MR University,Telangana,MEDCHAL MALKAJGIRI,,-,Urban
U-1366,Malla Reddy Vishwavidyapeeth,Telangana,MEDCHAL MALKAJGIRI,www.mrvv.edu.in,-,Urban
U-0169,Manav Rachna International Institute of Research & Studies,Haryana,Faridabad,https://www.mriirs.edu.in,2009,Urban
U-0234,"Manipal Academy of Higher Education, Manipal",Karnataka,Udupi,www.manipal.edu,1953,Urban
U-0465,"Meenakshi Academy of Higher Education and Research, Chennai",Tamil Nadu,Chennai,www.maher.ac.in,2004,Urban
U-0317,"MGM Institute of Health Sciences, Navi  Mumbai",Maharashtra,Raigad,www.mgmuhs.com,1989,Urban
U-0461,"M.G.R. Educational and Research Institute, Chennai",Tamil Nadu,Thiruvallur,www.drmgrdu.ac.in,1988,Urban
U-0532,"Nehru Gram Bharati (Deemed to be University), Prayagraj",Uttar Pradesh,Prayagraj,www.ngbv.ac.in,1996,Rural
U-0239,"NITTE Unversity, Mangalore",Karnataka,Dakshina Kannada,www.nitte.edu.in,2008,Rural
U-0468,"Noorul Islam Centre for Higher Education, Kanyakumari",Tamil Nadu,Kanniyakumari,www.niuniv.com,1989,Rural
U-0321,"Padmashree Dr. D. Y. Patil Vidyapeeth, , Mumbai",Maharashtra,Thane,www.dypatil.edu,2002,Urban
U-0469,"Periyar Maniammai Institute of Science & Technology, Thanjavur",Tamil Nadu,Thanjavur,www.pmu.edu,1988,Rural
U-0471,"Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur",Tamil Nadu,Thanjavur,http://www.prist.ac.in,1994,Rural
U-0322,"Pravara Institute of Medical Sciences, Ahmednagar",Maharashtra,Ahilyanagar,www.pravara.com,2003,Rural
U-0582,"Ramakrishna Mission Vivekananda Educational  and Research Institute, Howrah",West Bengal,Howrah,www.rkmvu.ac.in,2005,Urban
U-0539,"Santosh University, Ghaziabad",Uttar Pradesh,Ghaziabad,www.santosh.ac.in,1995,Urban
U-0474,"Sathyabama Institute of Science & Technology, Chennai",Tamil Nadu,Kancheepuram,www.sathyabama.ac.in,1988,Urban
U-0475,SAVEETHA INSTITUTE OF MEDICAL AND TECHNICAL SCIENCES (DEEMED TO BE UNIVERSITY),Tamil Nadu,Thiruvallur,https://www.saveetha.com,2005,Rural
U-0476,"Shanmugha Arts, Science, Technology & Reserch Academy (SASTRA), Thanjavur",Tamil Nadu,Thanjavur,www.sastra.edu,1984,Rural
U-0642,Shiv Nadar (Institution of Eminence Deemed to be University),Uttar Pradesh,Gautam Buddha Nagar,www.snu.edu.in,2011,Rural
U-0542,"Shobhit Institute of Engineering & Technology, Meerut",Uttar Pradesh,Meerut,www.shobhituniversity.ac.in,2000,Urban
