Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-0131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",Gujarat,Ahmedabad,https://baou.edu.in/,1994,Urban
U-0007,"Dr. B. R. Ambedkar Open University, Hyderabad",Telangana,Hyderabad,www.braou.ac.in,1982,Urban
U-1183,JAGAT GURU NANAK DEV PUNJAB STATE OPEN UNIVERSITY,Punjab,Patiala,www.psou.ac.in,2019,Urban
U-1259,JHARKHAND STATE OPEN UNIVERSITY,Jharkhand,Ranchi,JSOU.AC.IN,-,Urban
U-0228,"Karnataka State Open University, Mysore",Karnataka,Mysuru,https://ksoumysuru.ac.in,1996,Urban
U-0054,"Krishna Kanta Handiqui State Open University, Guwahati",Assam,Kamrup Metro,http://www.kkhsou.ac.in,2006,Urban
U-0278,"Madhya Pradesh Bhoj Open University, Bhopal",Madhya Pradesh,Bhopal,http://mpbou.edu.in,1991,Urban
U-0071,"Nalanda Open University, Patna",Bihar,Nalanda,www.nou.ac.in,1987,Rural
U-0578,"Netaji Subhash Open University, Kolkata",West Bengal,Kolkata,www.wbnsou.ac.in,1997,Urban
U-0932,Odisha State Open University,Odisha,Sambalpur,www.osou.ac.in,2015,Urban
U-0094,"Pt. Sundarlal Sharma (Open) University, Bilaspur",Chhattisgarh,Bilaspur,pssou.ac.in,2005,Urban
U-1130,SREENARAYANAGURU OPEN UNIVERSITY,Kerala,Kollam,www.sgou.ac.in,2020,Urban
U-0482,"Tamil Nadu Open University, Chennai",Tamil Nadu,Chennai,www.tnou.ac.in,2002,Urban
U-0546,"U.P. Rajarshi Tandon Open University, Allahabad",Uttar Pradesh,Prayagraj,www.uprtou.ac.in,1999,Urban
U-0623,Uttarakhand Open University,Uttarakhand,Nainital,https://uou.ac.in,2005,Rural
U-0428,"Vardhman Mahaveer Open University, Kota",Rajasthan,Kota,http://www.vmou.ac.in/,1987,Urban
U-0335,Yashwantrao Chavan Maharashtra Open University,Maharashtra,Nashik,"http://ycmou..ac.in, http://ycmou.digitaluniversity.ac",1989,Urban
