Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-1159,AAFT UNIVERSITY,Chhattisgarh,Raipur,http://aaft.edu.in,2018,Rural
U-0761,ABHILASHI UNIVERSITY,Himachal Pradesh,Mandi,www.abhilashiuniversity.ac.in,2014,Rural
U-1266,ABHYUDAY UNIVERSITY,Madhya Pradesh,Khargone (West Nimar),https://abhyudayuniversity.edu.in/,-,Rural
U-0857,ADAMAS UNIVERSITY,West Bengal,Kolkata,www.adamasuniversity.ac.in,2014,Rural
U-1206,ADANI UNIVERSITY,Gujarat,Ahmedabad,https://www.adaniuni.ac.in/,-,Urban
U-0736,ADESH UNIVERSITY,Punjab,Bathinda,www.adeshuniversity.ac.in ,2012,Rural
U-0971,ADICHUNCHANAGIRI UNIVERSITY,Karnataka,Mandya,www.acu.edu.in,2018,Rural
U-1388,Aditya University,Andhra Pradesh,Kakinada,www.adityauniversity.in,-,Urban
U-1271,AGRAWAN HERITAGE UNIVERSITY,Uttar Pradesh,Agra,www.ahu.ac.in,-,Rural
U-0122,Ahmedabad University,Gujarat,Ahmedabad,www.ahduni.edu.in,2009,Urban
U-1062,AIPH UNIVERSITY,Odisha,Khordha,www.aiph.ac.in,2008,Urban
U-0850,AISECT UNIVERSITY,Jharkhand,Hazaribagh,www.aisectuniversityjharkhand.ac.in,2016,Rural
U-0885,Ajeenkya D Y Patil University,Maharashtra,Pune,www.adypu.edu.in,2015,Urban
U-0879,"AKAL UNIVERSITY,BHATINDA",Punjab,Bathinda,www.auts.ac.in,2015,Rural
U-0650,"AKS UNIVERSITY, SATNA",Madhya Pradesh,Satna,www.aksuniversity.ac.in,2011,Rural
U-1387,"ALARD UNIVERSITY, PUNE",Maharashtra,Pune,https://alarduniversity.edu.in,-,Urban
U-0936,Al-Falah University,Haryana,Faridabad,www.alfalahuniversity.edu.in,2014,Rural
U-0990,AL-KARIM UNIVERSITY,Bihar,Katihar,www.alkarimuniversity.edu.in,2018,Urban
U-0213,Alliance University. Bangalore,Karnataka,Bengaluru Urban,www.alliance.edu.in,2010,Urban
U-1326,Amaltas University,Madhya Pradesh,Dewas,amaltasuniversity.in ,-,Rural
