Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-0003,"Acharya Nagarjuna University, Guntur",Andhra Pradesh,Guntur,www.anu.ac.in,1976,Rural
U-0531,"Acharya Narendra Deva University of Agriculture & Technology, Ayodhya",Uttar Pradesh,Ayodhya,www.nduat.org,1975,Rural
U-0004,"Acharya NG Ranga Agricultural University, Guntur",Andhra Pradesh,Guntur,www.angrau.ac.in,1964,Rural
U-0005,"Adikavi Nannaya University, Rajahmundry, East Godawari",Andhra Pradesh,East Godavari,www.aknu.edu.in,2006,Urban
U-0703,"AGRICULTURE UNIVERSITY, JODHPUR",Rajasthan,Jodhpur,www.aujodhpur.ac.in,2013,Urban
U-0704,"AGRICULTURE UNIVERSITY, KOTA",Rajasthan,Kota,www.aukota.org,2013,Urban
U-0435,"Alagappa University, Alagappa Nagar, Karaikudi",Tamil Nadu,Sivaganga,www.alagappauniversity.ac.in,1985,Urban
U-0567,"Aliah University, Kolkata",West Bengal,Kolkata,www.aliah.ac.in,1880,Urban
U-0123,"Anand Agricultural University, Anand",Gujarat,Anand,www.aau.in,2004,Urban
U-1282,ANDHRA KESARI UNIVERSITY,Andhra Pradesh,Prakasam,https://akuprakasam.ac.in/,-,Urban
U-1240,ANDHRA PRADESH FISHERIES UNIVERSITY,Andhra Pradesh,West Godavari,www.apfu.ap.gov.in,-,Rural
U-0006,"Andhra University, Visakhapatnam",Andhra Pradesh,Visakhapatnam,www.andhrauniversity.edu.in,1926,Urban
U-0443,"Annamalai University, Annamalainagar",Tamil Nadu,Cuddalore,www.annamalaiuniversity.ac.in,1928,Rural
U-0439,"Anna University, Chennai",Tamil Nadu,Chennai,www.annauniv.edu,1978,Urban
U-0786,A P J ABDUL KALAM TECHNOLOGICAL UNIVERSITY,Kerala,Thiruvananthapuram,www.ktu.edu.in,2014,Urban
U-1261,ARUNACHAL PRADESH UNIVERSITY,Arunachal Pradesh,East Siang,apupsg.ac.in,-,Urban
U-0057,"Aryabhatta Knoweledge University , Patna",Bihar,Patna,www.akubihar.ac.in,2010,Urban
U-0048,"Assam Agricultural University, Jorhat",Assam,Jorhat,www.aau.ac.in,1968,Rural
U-0673,ASSAM SCIENCE AND TECHNOLOGY UNIVERSITY,Assam,Kamrup Metro,www.astu.ac.in,2010,Urban
U-1372,"Assam Skill University, Assam",Assam,Darrang,www.asu.ac.in,-,Urban
U-0815,ASSAM WOMEN’S UNIVERSITY,Assam,Jorhat,www.awu.ac.in,2014,Rural
U-0651,ATAL BIHARI VAJPAYEE HINDI VISHWAVIDYALAYA,Madhya Pradesh,Bhopal,www.abvhv.edu.in,2011,Urban
U-1205,ATAL BIHARI VAJPAYEE MEDICAL UNIVERSITY,Uttar Pradesh,Lucknow,www.abvmuup.edu.in,2018,Urban
U-0636,ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA,Chhattisgarh,Bilaspur,http://www.bilaspuruniversity.ac.in,2012,Rural
U-1136,ATAL MEDICAL AND RESEARCH UNIVERSITY,Himachal Pradesh,Mandi,www.amruhp.ac.in,2017,Rural
U-0268,"Awadesh Pratap Singh University, Rewa",Madhya Pradesh,Rewa,www.apsurewa.ac.in,1968,Urban
U-0371,"Baba Farid University of Health Sciences, Faridkot",Punjab,Faridkot,www.bfuhs.ac.in,1998,Rural
U-0191,"Baba Ghulam Shah Badshah University,  Jammu",Jammu and Kashmir,Rajouri,www.bgsbu.ac.in,2002,Rural
U-0766,Baba Saheb Ambedkar Education University,West Bengal,Kolkata,www.bsaeu.in,2015,Urban
U-0058,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",Bihar,Muzaffarpur,brabu.net,1952,Urban
U-1254,BAGALKOT UNIVERSITY,Karnataka,Bagalkote,bgku.ac.in,-,Urban
U-0707,"BANDA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY, BANDA",Uttar Pradesh,Banda,www.buat.edu.in,2010,Urban
U-0215,"Bangalore University, Bangalore",Karnataka,Bengaluru Urban,https://bangaloreuniversity.karnataka.gov.in/,1964,Urban
U-0772,"BANKURA UNIVERSITY, BANKURA",West Bengal,Bankura,www.bankurauniv.ac.in,2014,Rural
U-0269,"Barkatullah University, Bhopal",Madhya Pradesh,Bhopal,www.bubhopal.ac.in,1970,Urban
U-0956,BENGALURU CITY UNIVERSITY,Karnataka,Bengaluru Urban,www.bcu.ac.in,2015,Urban
