Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-1114,"All India Institute of Medical Science, Bathinda",Punjab,Bathinda,https://aiimsbathinda.edu.in,2019,Rural
U-1108,All India Institute of Medical Science  Bibinagar,Telangana,YADADRI BHUVANAGIRI,"www.aiimsbibinagar.edu.in						",2019,Rural
U-1218,"All India Institute of Medical Science, Bilaspur",Himachal Pradesh,Bilaspur,https://aiimsbilaspur.edu.in/,2019,Rural
U-1057,All India Institute of Medical Science Deoghar,Jharkhand,Deoghar,http://www.aiimsdeoghar.edu.in,2019,Rural
U-1180,All India Institute of Medical Science Gorakhpur,Uttar Pradesh,Gorakhpur,aiimsgorakhpur.edu.in,2019,Urban
U-1152,"All India Institute of Medical Science, Jammu",Jammu and Kashmir,Samba,https://www.aiimsjammu.edu.in/,2019,Rural
U-1052,All India Institute of Medical Science Kalyani,West Bengal,Nadia,www.aiimskalyani.edu.in,2019,Rural
U-1092,"All India Institute of Medical Sciences (AIIMS), Raebareli",Uttar Pradesh,Rae Bareli,www.aiimsrbl.edu.in,2013,Rural
U-0687,"All India Institute of Medical Sciences, Bhopal",Madhya Pradesh,Bhopal,www.aiimsbhopal.edu.in,2012,Urban
U-0688,"All India Institute of Medical Sciences, Bhubaneswar",Odisha,Khordha,www.aiimsbhubaneswar.edu.in,2012,Urban
U-1107,"All India Institute of Medical Sciences, Guwahati",Assam,Kamrup,https://aiimsguwahati.ac.in,2020,Rural
U-0689,"All India Institute of Medical Sciences, Jodhpur",Rajasthan,Jodhpur,www.aiimsjodhpur.edu.in,2012,Urban
U-1304,All India Institute of Medical Sciences Madurai,Tamil Nadu,Madurai,https://aiimsmadurai.edu.in/,,Rural
U-0961,"All India Institute of Medical Sciences, Mangalagiri",Andhra Pradesh,Guntur,aiimsmangalagiri.edu.in,2018,Urban
U-1051,All India Institute of Medical Sciences Nagpur,Maharashtra,Nagpur,aiimsnagpur.edu.in,2017,Rural
U-0096,"All India Institute of Medical Sciences, New Delhi",Delhi,South,aiims.edu,1956,Urban
U-0686,"All India Institute of Medical Sciences, Patna",Bihar,Patna,http://www.aiimspatna.edu.in,2012,Rural
U-0690,"All India Institute of Medical Sciences, Raipur",Chhattisgarh,Raipur,www.aiimsraipur.edu.in,2012,Urban
U-1191,"All India Institute of Medical Sciences, Rajkot",Gujarat,Rajkot,https://aiimsrajkot.edu.in/,2020,Urban
U-0691,"All India Institute of Medical Sciences, Rishikesh",Uttarakhand,Dehradun,www.aiimsrishikesh.edu.in,2012,Rural
