Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-0267,"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Madhya Pradesh,Gwalior,www.iiitm.ac.in,1997,Urban
U-1193,Indian Institute of Information Technology,Madhya Pradesh,Bhopal,www.iiitbhopal.ac.in,2017,Urban
U-1158,Indian Institute of Information Technology Agartala,Tripura,West Tripura,www.iiitagartala.ac.in,2018,Rural
U-0516,"Indian Institute of Information Technology, Allahabad",Uttar Pradesh,Prayagraj,www.iiita.ac.in,1999,Rural
U-0953,Indian Institute of Information Technology Bhagalpur,Bihar,Bhagalpur,www.iiitbh.ac.in,2017,Rural
U-0863,"Indian Institute of Information Technology Design And Manufacturing, Kurnool",Andhra Pradesh,Kurnool,www.iiitk.ac.in,2015,Rural
U-0455,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Tamil Nadu,Chengalpattu,www.iiitdm.ac.in,2007,Rural
U-0803,"Indian Institute of Information Technology, Dharwad",Karnataka,Dharwad,http://www.iiitdwd.ac.in,2015,Urban
U-0795,"Indian Institute of Information Technology, Guwahati",Assam,Kamrup Metro,www.iiitg.ac.in,2013,Urban
U-0796,"Indian Institute of Information Technology, Kalyani",West Bengal,Nadia,http://www.iiitkalyani.ac.in,2014,Urban
U-0799,"Indian Institute of Information Technology, Kota",Rajasthan,Kota,www.iiitkota.ac.in,2013,Urban
U-0802,"Indian Institute of Information Technology, Kottayam",Kerala,Kottayam,www.iiitkottayam.ac.in,2015,Rural
U-0801,"Indian Institute of Information Technology, Lucknow",Uttar Pradesh,Lucknow,www.iiitl.ac.in,2014,Urban
U-0841,"Indian Institute of Information Technology, Nagpur",Maharashtra,Nagpur,www.iiitn.ac.in,2016,Rural
U-0804,"Indian Institute of Information Technology, Pune",Maharashtra,Pune,www.iiitp.ac.in,2016,Urban
U-1089,Indian Institute of Information Technology Raichur,Karnataka,Raichur,www.iiitr.ac.in,2019,Urban
U-0840,"Indian Institute of Information Technology, Ranchi",Jharkhand,Ranchi,https://iiitranchi.ac.in/,2016,Urban
U-0770,"Indian Institute of Information Technology, Senapati",Manipur,Senapati,www.iiitmanipur.ac.in,2014,Rural
U-0800,"Indian Institute of Information Technology, Sonipat",Haryana,Sonipat,iiitsonepat.ac.in,2014,Rural
U-0760,"Indian Institute of Information Technology, Sri City",Andhra Pradesh,Chittoor,www.iiits.ac.in,2013,Rural
U-0754,"Indian Institute of Information Technology, Srirangam",Tamil Nadu,Tiruchirappalli,www.iiitt.ac.in,2013,Rural
U-0954,Indian Institute of Information Technology Surat,Gujarat,Surat,www.iiitsurat.ac.in,2017,Urban
U-0797,"Indian Institute of Information Technology, UNA",Himachal Pradesh,Una,www.iiitu.ac.in,2014,Urban
U-0798,"Indian Institute of Information Technology, Vadodara",Gujarat,Vadodara,www.iiitvadodara.ac.in,2013,Urban
U-0286,"Pandhi Dwarka Prasad Mishra Indian Institute of Information Technology & Manufacturing , Jabalpur",Madhya Pradesh,Jabalpur,www.iiitdmj.ac.in,2005,Urban
