Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-1016,Indian Institute of Management Ahmedabad,Gujarat,Ahmedabad,https://www.iima.ac.in,1961,Urban
U-1001,Indian Institute of Management Amritsar,Punjab,Amritsar,www.iimamritsar.ac.in,2015,Rural
U-1014,Indian Institute of Management Bangalore,Karnataka,Bengaluru Urban,www.iimb.ac.in,1973,Urban
U-1006,Indian Institute of Management Bodh Gaya,Bihar,Gaya,www.iimbg.ac.in,2015,Rural
U-1012,Indian Institute of Management Indore,Madhya Pradesh,Indore,www.iimidr.ac.in,1996,Urban
U-1004,"Indian Institute of Management, Jammu And Kashmir",Jammu and Kashmir,Jammu,www.iimj.ac.in,2016,Urban
U-1009,Indian Institute of Management Kashipur,Uttarakhand,Udham Singh Nagar,www.iimkashipur.ac.in,2011,Rural
U-1019,"Indian Institute of Management, Kolkata",West Bengal,South 24 Parganas,www.iimcal.ac.in,1961,Urban
U-1013,Indian Institute of Management Kozhikode,Kerala,Kozhikode,www.iimk.ac.in,1996,Urban
U-1008,Indian Institute of Management Lucknow,Uttar Pradesh,Lucknow,www.iiml.ac.in,1984,Urban
U-1283,"Indian Institute of Management,Mumbai",Maharashtra,Mumbai,https://www.iimmumbai.ac.in,,Urban
U-1018,"Indian Institute of Management, Nagpur",Maharashtra,Nagpur,www.iimnagpur.ac.in,2015,Rural
U-1017,Indian Institute of Management Raipur,Chhattisgarh,Raipur,www.iimraipur.ac.in,2010,Rural
U-1003,Indian Institute of Management Ranchi,Jharkhand,Ranchi,www.iimranchi.ac.in,2009,Urban
U-1015,Indian Institute of Management Rohtak,Haryana,Rohtak,www.iimrohtak.ac.in,2009,Urban
U-1002,Indian Institute of Management Sambalpur,Odisha,Sambalpur,www.iimsambalpur.ac.in,2015,Rural
U-1011,"Indian Institute of Management, Shillong",Meghalaya,East Khasi Hills,www.iimshillong.ac.in,2007,Rural
U-1005,Indian Institute of Management Sirmaur,Himachal Pradesh,Sirmaur,www.iimsirmaur.ac.in,2015,Rural
U-1000,Indian Institute of Management Tiruchirapalli,Tamil Nadu,Tiruchirappalli,www.iimtrichy.ac.in,2011,Urban
U-1010,Indian Institute of Management Udaipur,Rajasthan,Udaipur,www.iimu.ac.in,2010,Urban
U-1007,Indian Institute of Management Visakhapatnam,Andhra Pradesh,Visakhapatnam,www.iimv.ac.in,2015,Urban
