Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-0701,"Indian Institute of Technology (Banaras Hindu University), Varanasi",Uttar Pradesh,Varanasi,www.iitbhu.ac.in,2012,Urban
U-0946,Indian Institute of Technology Bhilai,Chhattisgarh,Durg,www.iitbhilai.ac.in,2016,Rural
U-0355,"Indian Institute of Technology, Bhubaneshwar",Odisha,Khordha,www.iitbbs.ac.in,2008,Rural
U-0306,"Indian Institute of Technology, Bombay",Maharashtra,Mumbai,www.iitb.ac.in,1958,Urban
U-0100,"Indian Institute of Technology, Delhi",Delhi,South,www.iitd.ac.in,1961,Urban
U-0899,"Indian Institute of Technology, Dharwad",Karnataka,Dharwad,www.iitdh.ac.in,2016,Urban
U-0139,"Indian Institute of Technology, Gandhinagar",Gujarat,Ahmedabad,www.iitgn.ac.in,2008,Rural
U-0907,"Indian Institute of Technology, Goa",Goa,South Goa,www.iitgoa.ac.in,2016,Urban
U-0053,"Indian Institute of Technology, Guwahati",Assam,Kamrup,www.iitg.ac.in,1994,Urban
U-0013,"Indian Institute of Technology, Hyderabad",Telangana,Medak,http://iith.ac.in,2008,Urban
U-0205,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Jharkhand,Dhanbad,www.iitism.ac.in,1926,Urban
U-0273,"Indian Institute of Technology, Indore",Madhya Pradesh,Indore,www.iiti.ac.in,2009,Urban
U-0906,Indian Institute of Technology Jammu,Jammu and Kashmir,Jammu,https://iitjammu.ac.in/,2016,Rural
U-0395,"Indian Institute of Technology, Jodhpur",Rajasthan,Jodhpur,https://iitj.ac.in/,2008,Urban
U-0517,"Indian Institute of Technology, Kanpur",Uttar Pradesh,Kanpur Nagar,www.iitk.ac.in,1959,Urban
U-0573,"Indian Institute of Technology, Kharagpur",West Bengal,Paschim Medinipur,www.iitkgp.ac.in,1951,Rural
U-0456,"Indian Institute of Technology, Madras",Tamil Nadu,Chennai,www.iitm.ac.in,1959,Urban
U-0184,"Indian Institute of Technology, Mandi",Himachal Pradesh,Mandi,www.iitmandi.ac.in,2009,Rural
U-0878,"Indian Institute of Technology, Palakkad",Kerala,Palakkad,https://iitpkd.ac.in,2015,Rural
U-0064,"Indian Institute of Technology, Patna",Bihar,Patna,http://www.iitp.ac.in,2008,Rural
U-0560,"Indian Institute of Technology, Roorkee",Uttarakhand,Haridwar,www.iitr.ac.in,1847,Urban
U-0378,"Indian Institute of Technology, Ropar",Punjab,Rupnagar,www.iitrpr.ac.in,2008,Urban
U-0844,"Indian Institute of Technology, Tirupati",Andhra Pradesh,Chittoor,http://iittp.ac.in,2015,Rural
