Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-0374,"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar",Punjab,Jalandhar,www.nitj.ac.in,1987,Urban
U-0410,"Malviya National Institute of Technology, Jaipur",Rajasthan,Jaipur,www.mnit.ac.in,1963,Urban
U-0284,"Maulana Azad National Institute of Technology, Bhopal",Madhya Pradesh,Bhopal,www.manit.ac.in,1960,Urban
U-0530,"Motilal Nehru National Institute of Technology, Allahabad",Uttar Pradesh,Prayagraj,www.mnnit.ac.in,1961,Urban
U-0493,"National Institute of Technology, Agartala",Tripura,West Tripura,www.nita.ac.in,1965,Rural
U-0855,"National Institute of Technology, Andhra Pradesh",Andhra Pradesh,West Godavari,www.nitandhra.ac.in,2015,Urban
U-0615,National Institute of Technology Arunachal Pradesh,Arunachal Pradesh,Papum Pare,www.nitap.ac.in,2010,Rural
U-0263,"National Institute of Technology, Calicut",Kerala,Kozhikode,http://www.nitc.ac.in/,1961,Rural
U-0622,National Institute of Technology Delhi,Delhi,North West,www.nitdelhi.ac.in,2010,Urban
U-0577,"National Institute of Technology, Durgapur",West Bengal,Purba Bardhaman,www.nitdgp.ac.in,1960,Urban
U-0620,National Institute of Technology Goa,Goa,South Goa,https://www.nitgoa.ac.in/,2010,Rural
U-0189,"National Institute of Technology, Hamirpur",Himachal Pradesh,Hamirpur,www.nith.ac.in,1986,Urban
U-0207,"National Institute of Technology, Jamshedpur",Jharkhand,Saraikela Kharsawan,www.nitjsr.ac.in,1960,Urban
U-0237,"National Institute of Technology, Karnataka",Karnataka,Dakshina Kannada,http://www.nitk.ac.in,1960,Urban
U-0172,"National Institute of Technology, Kurukshetra",Haryana,Kurukshetra,www.nitkkr.ac.in,1963,Urban
U-0613,National Institute of Technology Manipur,Manipur,Imphal West,www.nitmanipur.ac.in,2010,Urban
U-0619,National Institute of Technology Meghalaya,Meghalaya,East Khasi Hills,www.nitm.ac.in,2010,Rural
U-0617,National Institute of Technology Mizoram,Mizoram,Aizawl,www.nitmz.ac.in,2010,Urban
U-0618,National Institute of Technology Nagaland,Nagaland,Dimapur,www.nitnagaland.ac.in,2009,Rural
U-0072,"National Institute of Technology, Patna",Bihar,Patna,www.nitp.ac.in,2004,Urban
U-0621,National Institute of Technology Puducherry,Puducherry,Karaikal,www.nitpy.ac.in,2010,Rural
U-0092,"National Institute of Technology, Raipur",Chhattisgarh,Raipur,nitrr.ac.in,1956,Urban
U-0357,"National Institute of Technology, Rourkela",Odisha,Sundargarh,www.nitrkl.ac.in,1961,Urban
U-0614,National Institute of Technology Sikkim,Sikkim,Namchi,http://www.nitsikkim.ac.in,2010,Rural
U-0055,"National Institute of Technology, Silchar",Assam,Cachar,www.nits.ac.in,1967,Rural
U-0197,"National Institute of Technology, Srinagar",Jammu and Kashmir,Srinagar,www.nitsri.ac.in,1960,Urban
U-0467,"National Institute of Technology, Tiruchirapalli",Tamil Nadu,Tiruchirappalli,http://www.nitt.edu,1964,Urban
U-0616,National Institute of Technology Uttarakhand,Uttarakhand,Pauri Garhwal,www.nituk.ac.in,2009,Rural
U-0025,"National Institute of Technology, Warangal",Telangana,Warangal,nitw.ac.in,1959,Urban
U-0149,"Sardar Vallabhbhai National Institute of Technology, Surat",Gujarat,Surat,http://www.svnit.ac.in,1961,Urban
U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Maharashtra,Nagpur,www.vnit.ac.in,1960,Urban
