S. No.,AISHE Code,Institute Name,State Name,Management Type
1,U-0961,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, MANGALAGIRI",Andhra Pradesh,Central Government
2,S-19106,CENTRAL INSTITUTE OF PLASTICS ENGINEERING AND TECHNOLOGY VIJAYAWADA,Andhra Pradesh,Central Government
3,U-1226,CENTRAL TRIBAL UNIVERSITY,Andhra Pradesh,Central Government
4,U-0976,CENTRAL UNIVERSITY OF ANDHRA PRADESH,Andhra Pradesh,Central Government
5,U-0863,"Indian Institute of Information Technology Design And Manufacturing, Kurnool",Andhra Pradesh,Central Government
6,U-0760,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, CHITTOOR",Andhra Pradesh,Central Government
7,U-1007,Indian Institute of Management Visakhapatnam,Andhra Pradesh,Central Government
8,U-0944,INDIAN INSTITUTE OF PETROLEUM & ENERGY,Andhra Pradesh,Central Government
9,U-0827,"Indian Institute of Science Education & Research (IISER), Tirupati",Andhra Pradesh,Central Government
10,U-0844,"Indian Institute of Technology, Tirupati",Andhra Pradesh,Central Government
11,S-574,INDIAN INSTITUTE OF TOURISM AND TRAVEL MANAGEMENT,Andhra Pradesh,Central Government
12,C-61032,"INDIAN MARITIME UNIVERSITY, VISAKHAPATNAM",Andhra Pradesh,Central Government
13,S-19404,MSME TECHNOLOGY CENTRE,Andhra Pradesh,Central Government
14,U-1192,NATIONAL INSTITUTE OF DESIGN ANDHRA PRADESH,Andhra Pradesh,Central Government
15,U-0855,"NATIONAL INSTITUTE OF TECHNOLOGY, ANDHRA PRADESH",Andhra Pradesh,Central Government
16,U-0030,"National Sanskrit University , Tirupati",Andhra Pradesh,Central Government
17,U-0627,School of Planning and Architecture Vijayawada,Andhra Pradesh,Central Government
18,U-0615,National Institute of Technology Arunachal Pradesh,Arunachal Pradesh,Central Government
19,U-0046,"North Eastern Regional Institute of Science & Technology, Papum Pare, Itanagar",Arunachal Pradesh,Central Government
20,U-0047,"Rajiv Gandhi University, Itanagar",Arunachal Pradesh,Central Government
21,U-1107,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, GUWAHATI",Assam,Central Government
22,U-0050,"Assam University, Silchar",Assam,Central Government
23,S-681,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY:CENTRE FOR SKILLING AND TECHNICAL SUPPORT-GUWAHATI,Assam,Central Government
24,U-1067,CENTRAL INSTITUTE OF TECHNOLOGY,Assam,Central Government
25,C-17139,F.A. Ahmed College,Assam,Central Government
26,S-19477,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY GUWAHATI,Assam,Central Government
27,U-0795,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, GUWAHATI",Assam,Central Government
28,U-0053,Indian Institute of Technology Guwahati,Assam,Central Government
29,U-1045,"NATIONAL INSTITUTE OF DESIGN, ASSAM",Assam,Central Government
30,C-66301,NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY GUWAHATI,Assam,Central Government
31,U-1316,National Institute of Pharmaceutical Education and Research Guwahati,Assam,Central Government
32,U-0055,National Institute of Technology Silchar,Assam,Central Government
33,C-64696,NORTH EASTERN REGIONAL INSTITUTE OF WATER AND LAND MANAGEMENT,Assam,Central Government
34,U-0056,"Tezpur University, Tezpur",Assam,Central Government
35,U-0686,All India Institute of Medical Sciences Patna,Bihar,Central Government
36,U-0062,Central University of South Bihar,Bihar,Central Government
37,C-10243,"College of Agricultural Engineering,Pusa",Bihar,Central Government
38,U-0075,Dr Rajendra Prasad Central Agricultural University,Bihar,Central Government
39,C-69114,EMPLOYEES STATE INSURANCE MEDICAL COLLEGE,Bihar,Central Government
40,U-0953,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR,Bihar,Central Government
41,U-1006,Indian Institute of Management Bodh Gaya,Bihar,Central Government
42,U-0064,Indian Institute of Technology Patna,Bihar,Central Government
43,U-0835,"Mahatma Gandhi Central University, Motihari",Bihar,Central Government
44,U-0710,NALANDA UNIVERSITY,Bihar,Central Government
45,C-47479,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, PATNA",Bihar,Central Government
46,U-1116,National Institute Of Pharmaceutical Education And Research Hajipur,Bihar,Central Government
47,U-0072,"National Institute of Technology, Patna",Bihar,Central Government
48,U-0073,"Nava Nalanda Mahavihara, Nalanda",Bihar,Central Government
49,S-18386,INDO SWISS TRAINING CENTRE,Chandigarh,Central Government
50,U-1332,National Institute of Technical Teacher Training & Research Chandigarh,Chandigarh,Central Government
51,U-0079,Post Graduate Institute of Medical Education and Research,Chandigarh,Central Government
52,U-0690,All India Institute of Medical Sciences Raipur,Chhattisgarh,Central Government
53,C-59735,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY (CIPET) - RAIPUR,Chhattisgarh,Central Government
54,S-18127,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY KORBA,Chhattisgarh,Central Government
55,U-0085,Guru Ghasidas Vishwavidyalaya,Chhattisgarh,Central Government
56,U-1017,Indian Institute of Management Raipur,Chhattisgarh,Central Government
57,U-0946,Indian Institute of Technology Bhilai,Chhattisgarh,Central Government
58,U-0092,"National Institute of Technology, Raipur",Chhattisgarh,Central Government
59,C-60556,All India Institute of Ayurveda,Delhi,Central Government
60,U-0096,All India Institute of Medical Sciences Delhi,Delhi,Central Government
61,C-22462,Atma Ram Sanatan Dharm College,Delhi,Central Government
62,U-0115,Central Sanskrit University,Delhi,Central Government
63,C-60280,"College of Nursing,  Army Hospital (RR)",Delhi,Central Government
64,C-32834,"College of Nursing,Dr. Ram Manohar Lohia Hospital",Delhi,Central Government
65,C-32925,"College of Nursing,Safdarjang Hospital",Delhi,Central Government
66,C-6409,Deshbandhu College,Delhi,Central Government
67,C-27613,Dyal Singh College (Evening),Delhi,Central Government
68,C-32907,ESIC Dental College,Delhi,Central Government
69,C-6429,Gargi College,Delhi,Central Government
70,C-6425,Hans Raj College,Delhi,Central Government
71,U-0101,Indian Agricultural Research Institute,Delhi,Central Government
72,U-0102,Indian Institute of Foreign Trade,Delhi,Central Government
73,U-1340,"INDIAN INSTITUTE OF MASS COMMUNICATION, NEW DELHI",Delhi,Central Government
