S. No.,AISHE Code,Institute Name,State Name,Management Type
1,C-24055,"AU College of Pharmaceutical Sciences, Andhra University",Andhra Pradesh,Private
2,U-0011,Gandhi Institute of Technology and Management,Andhra Pradesh,Private
3,U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Andhra Pradesh,Private
4,U-1111,Krea University,Andhra Pradesh,Private
5,C-24007,Shri Vishnu College of Pharmacy,Andhra Pradesh,Private
6,C-26904,Sri Venkateswara College of Pharmacy,Andhra Pradesh,Private
7,U-0043,"Vignan's Foundation for Science, Technology and Research",Andhra Pradesh,Private
8,C-69453,GITAM Institute of Medical Sciences and Research,Andhra Pradesh ,Private
9,C-29440,Goswami Ganesh Dutta S.D. College,Chandigarh,Private
10,S-62,Fore School of Management,Delhi,Private
11,S-17631,International Management Institute,Delhi,Private
12,S-782,Jagan Institute of Management Studies Technical Campus,Delhi,Private
13,U-0107,Jamia Hamdard,Delhi,Private
14,C-6420,Jesus & Mary College,Delhi,Private
15,C-6415,Lady Shri Ram College for Women,Delhi,Private
16,C-32887,New Delhi Institute of Management,Delhi,Private
17,C-22470,St. Stephens s College,Delhi,Private
18,C-61982,Birla Institute of Technology and Science Pilani K K Birla Goa Campus,Goa,Private
19,S-87,Goa Institute of Management,Goa,Private
20,U-0830,Anant National University,Gujarat,Private
21,U-0127,Centre for Environmental Planning and Technology University,Gujarat,Private
22,C-5838,Gujarat Cancer and Research Institute,Gujarat,Private
23,S-92,Institute of Rural Management Anand (IRMA),Gujarat,Private
24,C-409,L. M. College of Pharmacy,Gujarat,Private
25,S-14875,MICA,Gujarat,Private
26,U-0146,Nirma University,Gujarat,Private
27,U-0147,Pandit Deendayal Energy University,Gujarat,Private
28,U-0763,Parul University,Gujarat,Private
29,C-16179,Ramanbhai Patel College of Pharmacy,Gujarat,Private
30,U-0668,"Uka Tarsadia University, Bardoli",Gujarat,Private
31,U-0155,"Amity University Haryana, Gurgaon",Haryana,Private
32,C-76263,"Amrita School of Medicine, Faridabad",Haryana,Private
33,U-0735,BML Munjal University,Haryana,Private
34,S-17295,Great Lakes Institute of Management,Haryana,Private
35,U-0168,Maharishi Markandeshwar (Deemed to be University),Haryana,Private
36,S-113,Management Development Institute,Haryana,Private
37,U-0169,Manav Rachna International Institute of Research and Studies,Haryana,Private
38,C-7046,"MM Institute of Medical Sciences & Research, Mullana-Ambala",Haryana,Private
39,C-30756,Postgraduate Institute of Dental Sciences,Haryana,Private
40,U-0190,Shoolini University of Biotechnology and Management Sciences,Himachal Pradesh,Private
