S. No.,AISHE Code,Institute Name,State Name,Management Type
1,U-0004,Acharya N G Ranga Agricultural University,Andhra Pradesh,State Government
2,U-0003,Acharya Nagarjuna University,Andhra Pradesh,State Government
3,C-32766,Acharya Nagarjuna University College of Pharmaceutical Sciences,Andhra Pradesh,State Government
4,U-0006,Andhra University,Andhra Pradesh,State Government
5,C-24004,AU College of Engineering (A),Andhra Pradesh,State Government
6,U-0002,Damodaram Sanjivayya National Law University,Andhra Pradesh,State Government
7,C-23907,Dr. B. R. Ambedkar College of Law,Andhra Pradesh,State Government
8,U-0016,Jawaharlal Nehru Technological University,Andhra Pradesh,State Government
9,U-0034,Sri Padmavathi Mahila Visvavidyalayam,Andhra Pradesh,State Government
10,U-0037,Sri Venkateswara University,Andhra Pradesh,State Government
11,U-0039,Sri Venkateswara Veterinary University,Andhra Pradesh,State Government
12,U-0045,Yogi Vemana University,Andhra Pradesh,State Government
13,U-0048,Assam Agricultural University,Assam,State Government
14,U-0051,Dibrugarh University,Assam,State Government
15,U-0052,Gauhati University,Assam,State Government
16,U-0677,National Law University and Judicial Academy,Assam,State Government
17,U-0060,Bihar Agriculture University,Bihar,State Government
18,U-0063,Chanakya National Law University,Bihar,State Government
19,S-40,Chandragupt Institute of Management Patna,Bihar,State Government
20,U-0074,Patna University,Bihar,State Government
21,C-29341,"Chandigarh College of Architecture, Sector-12",Chandigarh,State Government
22,C-29284,Govt Home Science College,Chandigarh,State Government
23,C-29442,Govt. Medical College & Hospital,Chandigarh,State Government
24,U-0078,Panjab University,Chandigarh,State Government
25,U-0080,"Punjab Engineering College (Deemed to be University), Chandigarh",Chandigarh,State Government
26,U-0087,Indira Gandhi Krishi Vishwavidyalaya,Chhattisgarh,State Government
27,U-0093,Pt. Ravishankar Shukla University,Chhattisgarh,State Government
28,C-6380,Acharya Narendra Dev College,Delhi,State Government
29,C-6396,Aryabhatta College,Delhi,State Government
30,C-6387,Bhaskaracharya College of Applied Sciences,Delhi,State Government
31,C-6367,Daulat Ram College,Delhi,State Government
32,C-6361,Deen Dayal Upadhyaya College,Delhi,State Government
33,C-6376,Delhi College of Arts and Commerce,Delhi,State Government
34,U-0853,Delhi Pharmaceutical Sciences and Research University,Delhi,State Government
35,U-0098,Delhi Technological University,Delhi,State Government
36,C-6432,Dyal Singh College,Delhi,State Government
37,U-0099,Guru Gobind Singh Indraprastha University,Delhi,State Government
38,C-6377,Hindu College,Delhi,State Government
39,U-0685,Indira Gandhi Delhi Technical University for Women,Delhi,State Government
40,C-6365,Indraprastha College for Women,Delhi,State Government
41,U-0105,Indraprastha Institute of Information Technology,Delhi,State Government
42,U-0106,Institute of Liver and Biliary Sciences,Delhi,State Government
43,C-6417,Kamala Nehru College,Delhi,State Government
44,C-27608,Lady Irwin College,Delhi,State Government
45,C-6412,Maharaja Agrasen College,Delhi,State Government
46,C-6391,Maitreyi College,Delhi,State Government
47,C-6424,Mata Sundri College for Women,Delhi,State Government
48,C-28507,Maulana Azad Institute of Dental Sciences,Delhi,State Government
49,C-6414,Maulana Azad Medical College,Delhi,State Government
50,U-0111,National Law University,Delhi,State Government
51,U-1056,Netaji Subhas University of Technology (NSUT),Delhi,State Government
52,C-6405,Rajdhani College,Delhi,State Government
53,C-6416,Satyawati College,Delhi,State Government
54,C-6421,Shaheed Bhagat Singh College,Delhi,State Government
55,C-6401,Shaheed Bhagat Singh College (Evening),Delhi,State Government
56,C-6426,Shaheed Rajguru College of Applied Sciences for Women,Delhi,State Government
57,C-6411,Shaheed Sukhdev College of Business Studies,Delhi,State Government
58,C-6413,Sri Guru Gobind Singh College of Commerce,Delhi,State Government
59,C-6353,Sri Guru Tegh Bahadur Khalsa College,Delhi,State Government
60,C-6430,University College of Medical Science & Guru Teg Bahadur Hospital,Delhi,State Government
61,C-30842,Dempo Charities Trust Dhempe College of Arts & Science,Goa,State Government
62,C-30858,Goa College of Pharmacy,Goa,State Government
63,U-0121,Goa University,Goa,State Government
64,U-0123,Anand Agricultural University,Gujarat,State Government
65,U-0131,Dr. Babasaheb Ambedkar Open University,Gujarat,State Government
66,C-936,Government Dental College,Gujarat,State Government
67,U-0134,Gujarat National Law University,Gujarat,State Government
68,U-0135,Gujarat Technological University,Gujarat,State Government
69,U-0136,Gujarat University,Gujarat,State Government
70,U-0143,Maharaja Sayajirao University of Baroda,Gujarat,State Government
71,U-0145,Navsari Agricultural University,Gujarat,State Government
72,U-0159,Chaudhary Charan Singh Haryana Agricultural University,Haryana,State Government
73,C-30768,"College of Pharmacy, Pandit Bhagwat Dayal Sharma University of Health Sciences",Haryana,State Government
74,U-0162,Guru Jambheshwar University of Science and Technology,Haryana,State Government
75,C-29454,I.C. College of Community Science,Haryana,State Government
76,U-0175,"J. C. Bose University of Science and Technology, YMCA",Haryana,State Government
77,U-0164,Kurukshetra University,Haryana,State Government
78,U-0165,Lala lajpat Rai University of Veterinary and Animal Sciences,Haryana,State Government
79,U-0167,Maharshi Dayanand University,Haryana,State Government
80,C-30767,Pandit Bhagwat Dayal Sharma University of Health Sciences,Haryana,State Government
81,U-1048,Shri Vishwakarma Skill University,Haryana,State Government
82,U-0179,Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya,Himachal Pradesh,State Government
83,U-0181,Dr. Y.S. Parmar University of Horticulture and Forestry,Himachal Pradesh,State Government
84,U-0183,Himachal Pradesh University,Himachal Pradesh,State Government
85,C-22872,"Government College for Women, Parade Ground , Jammu",Jammu and Kashmir,State Government
86,U-0194,"Islamic University of Science & Technology, Pulwama",Jammu and Kashmir,State Government
87,U-0199,Sher-e-Kashmir University of Agricultural Science and Technology of Jammu,Jammu and Kashmir,State Government
88,U-0200,Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,Jammu and Kashmir,State Government
89,U-0201,Shri Mata Vaishno Devi University,Jammu and Kashmir,State Government
90,U-0195,University of Jammu,Jammu and Kashmir,State Government
91,U-0196,University of Kashmir,Jammu and Kashmir,State Government
92,U-0600,National University of Study and Research in Law,Jharkhand,State Government
