Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
1,National Spot Round,NIELIT Deemed to be University Itanagar,AI and Data Science,Group 1,OPEN,389,389
2,National Spot Round,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IC Design and Technology,Group 1,EWS,330,330
3,National Spot Round,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IC Design and Technology,Group 1,OPEN,440,358
4,National Spot Round,"National Institute of Technology, Warangal",Electronics and Communication Engineering - Embedded & Machine Learning Systems (EMLS),Group 1,OBC-NCL,483,483
5,National Spot Round,"National Institute of Technology, Warangal",Electronics and Communication Engineering - Embedded & Machine Learning Systems (EMLS),Group 1,EWS,499,499
6,National Spot Round,"National Institute of Technology, Warangal",Electronics and Communication Engineering - Embedded & Machine Learning Systems (EMLS),Group 1,OPEN,514,510
7,National Spot Round,Motilal Nehru National Institute of Technology Allahabad,M.Tech. in Cyber Physical System,Group 1,OBC-NCL,406,330
8,National Spot Round,Motilal Nehru National Institute of Technology Allahabad,M.Tech. in Cyber Physical System,Group 1,EWS,331,331
9,National Spot Round,Motilal Nehru National Institute of Technology Allahabad,M.Tech. in Cyber Physical System,Group 1,OPEN,413,413
10,National Spot Round,Motilal Nehru National Institute of Technology Allahabad,M.Tech. in Cyber Physical System,Group 1,SC,314,271
11,National Spot Round,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,Group 1,OBC-NCL,469,450
12,National Spot Round,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,Group 1,EWS,464,464
13,National Spot Round,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,Group 1,OPEN,538,523
14,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Machine Intelligence and Automation,Group 1,OBC-NCL,410,377
15,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Machine Intelligence and Automation,Group 1,EWS,381,381
16,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Machine Intelligence and Automation,Group 1,OPEN,450,440
17,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Machine Intelligence and Automation,Group 1,SC,285,285
18,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and Computing,Group 1,OBC-NCL,417,413
19,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and Computing,Group 1,EWS,377,377
20,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and Computing,Group 1,OPEN,468,431
21,National Spot Round,"National Institute of Technology, Jamshedpur",VLSI and Embedded Systems Engineering,Group 1,OBC-NCL,424,420
22,National Spot Round,"National Institute of Technology, Jamshedpur",VLSI and Embedded Systems Engineering,Group 1,OPEN,492,440
23,National Spot Round,"National Institute of Technology, Jamshedpur",Data Science and Engineering,Group 1,OBC-NCL,501,496
24,National Spot Round,"National Institute of Technology, Jamshedpur",Data Science and Engineering,Group 1,EWS,495,495
25,National Spot Round,"National Institute of Technology, Jamshedpur",Data Science and Engineering,Group 1,OPEN,548,537
26,National Spot Round,National Institute of Technology Raipur,M.Tech in Power System & Power Electronics,Group 1,OPEN,523,523
27,National Spot Round,"Indian Institute of Information Technology, Bhopal",M.Tech in Artificial Intelligence,Group 1,OBC-NCL,403,330
28,National Spot Round,"Indian Institute of Information Technology, Bhopal",M.Tech in Artificial Intelligence,Group 1,EWS,377,335
29,National Spot Round,"Indian Institute of Information Technology, Bhopal",M.Tech in Artificial Intelligence,Group 1,OPEN,498,426
30,National Spot Round,"Indian Institute of Information Technology, Bhopal",M.Tech in Artificial Intelligence,Group 1,SC,299,261
31,National Spot Round,"Indian Institute of Information Technology, Bhopal",M.Tech in Data Science,Group 1,OBC-NCL,352,321
32,National Spot Round,"Indian Institute of Information Technology, Bhopal",M.Tech in Data Science,Group 1,EWS,360,360
33,National Spot Round,"Indian Institute of Information Technology, Bhopal",M.Tech in Data Science,Group 1,OPEN,423,404
34,National Spot Round,"Indian Institute of Information Technology, Bhopal",M.Tech in Data Science,Group 1,SC,260,211
35,National Spot Round,"Indian Institute of Information Technology, Bhopal",M.Tech in Cyber Physical System,Group 1,OPEN,380,354
36,National Spot Round,"National Institute of Technology, Rourkela",RF and Microwave systems,Group 1,OBC-NCL,416,416
37,National Spot Round,"National Institute of Technology, Rourkela",RF and Microwave systems,Group 2,OBC-NCL,375,375
38,National Spot Round,"National Institute of Technology, Rourkela",RF and Microwave systems,Group 3,OBC-NCL,362,362
39,National Spot Round,"National Institute of Technology, Rourkela",RF and Microwave systems,Group 1,OPEN,444,444
40,National Spot Round,"National Institute of Technology, Rourkela",RF and Microwave systems,Group 2,OPEN,430,390
41,National Spot Round,"National Institute of Technology, Rourkela",RF and Microwave systems,Group 3,OPEN,385,370
42,National Spot Round,National Institute of Technology Sikkim,M.Tech in Artificial Intelligence and Machine Learning,Group 1,OBC-NCL,353,330
43,National Spot Round,National Institute of Technology Sikkim,M.Tech in Artificial Intelligence and Machine Learning,Group 1,OPEN,407,389
44,National Spot Round,National Institute of Technology Sikkim,M.Tech in Artificial Intelligence and Machine Learning,Group 1,SC,278,278
45,National Spot Round,National Institute of Technology Sikkim,M.Tech in VLSI and Embedded Systems,Group 1,SC,264,264
46,National Spot Round,Indian Institute of Information Technology (IIIT) Surat,Electronics and Communication Engineering (VLSI),Group 1,OPEN,393,393
47,National Spot Round,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Structures and Design,Group 1,OBC-NCL,347,347
48,National Spot Round,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Structures and Design,Group 1,OPEN,404,404
49,National Spot Round,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Control Systems,Group 1,OPEN,429,429
50,National Spot Round,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Digital Signal Processing,Group 1,OBC-NCL,330,330
