Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
1,Special Round 2,"Indian Institute of Information Technology, Kota",Computer Science and Engineering with Specialization in Artificial Intelligence and Data Science,Group 1,OPEN,420,418
2,Special Round 2,"Indian Institute of Information Technology, Kota",Computer Science and Engineering with Specialization in Artificial Intelligence and Data Science,Group 1,SC,260,260
3,Special Round 2,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Signal Processing and Machine Learning,Group 1,OBC-NCL,334,323
4,Special Round 2,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Signal Processing and Machine Learning,Group 1,OPEN,377,373
5,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Signal Processing and Machine Learning,Group 1,OBC-NCL,568,568
6,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Signal Processing and Machine Learning,Group 2,OBC-NCL,463,463
7,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Signal Processing and Machine Learning,Group 2,EWS,479,479
8,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Signal Processing and Machine Learning,Group 1,OPEN,597,597
9,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Signal Processing and Machine Learning,Group 2,OPEN,491,483
10,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Signal Processing and Machine Learning,Group 1,SC,435,435
11,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Signal Processing and Machine Learning,Group 2,SC,315,315
12,Special Round 2,"National Institute of Technology, Rourkela",Software Engineering,Group 1,OBC-NCL,589,569
13,Special Round 2,"National Institute of Technology, Rourkela",Software Engineering,Group 1,EWS,592,592
14,Special Round 2,"National Institute of Technology, Rourkela",Software Engineering,Group 1,OPEN,622,618
15,Special Round 2,"National Institute of Technology, Rourkela",Software Engineering,Group 1,SC,454,454
16,Special Round 2,"National Institute of Technology, Jamshedpur",Information Systems Security Engineering,Group 1,OBC-NCL,498,498
17,Special Round 2,"National Institute of Technology, Jamshedpur",Information Systems Security Engineering,Group 1,EWS,512,512
18,Special Round 2,"National Institute of Technology, Jamshedpur",Information Systems Security Engineering,Group 1,OPEN,535,530
19,Special Round 2,"National Institute of Technology, Jamshedpur",Information Systems Security Engineering,Group 1,SC,352,326
20,Special Round 2,"National Institute of Technology, Rourkela",Signal & Image Processing,Group 1,OBC-NCL,483,456
21,Special Round 2,"National Institute of Technology, Rourkela",Signal & Image Processing,Group 1,EWS,440,418
22,Special Round 2,"National Institute of Technology, Rourkela",Signal & Image Processing,Group 1,OPEN,522,516
23,Special Round 2,"National Institute of Technology, Rourkela",Signal & Image Processing,Group 1,SC,370,370
24,Special Round 2,National Institute of Technology Delhi,Mathematics & Computing (MC),Group 1,OPEN,530,530
25,Special Round 2,National Institute of Technology Delhi,Mathematics & Computing (MC),Group 1,SC,352,352
26,Special Round 2,"National Institute of Technology, Silchar",Communication & Signal Processing,Group 1,OBC-NCL,326,326
27,Special Round 2,"National Institute of Technology, Silchar",Communication & Signal Processing,Group 1,OPEN,366,364
28,Special Round 2,"National Institute of Technology, Silchar",Communication & Signal Processing,Group 1,SC,265,265
29,Special Round 2,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Communication & Signal Processing,Group 1,OPEN,354,354
30,Special Round 2,Motilal Nehru National Institute of Technology Allahabad,Signal Processing,Group 1,OBC-NCL,424,420
31,Special Round 2,Motilal Nehru National Institute of Technology Allahabad,Signal Processing,Group 1,EWS,420,401
32,Special Round 2,Motilal Nehru National Institute of Technology Allahabad,Signal Processing,Group 1,OPEN,452,444
33,Special Round 2,Motilal Nehru National Institute of Technology Allahabad,Signal Processing,Group 1,SC,295,295
34,Special Round 2,Motilal Nehru National Institute of Technology Allahabad,Signal Processing,Group 1,ST,242,242
35,Special Round 2,National Institute of Technology Calicut,Signal Processing,Group 1,OBC-NCL,448,440
36,Special Round 2,National Institute of Technology Calicut,Signal Processing,Group 1,EWS,393,393
37,Special Round 2,National Institute of Technology Calicut,Signal Processing,Group 1,OPEN,456,448
38,Special Round 2,National Institute of Technology Calicut,Signal Processing,Group 1,SC,299,299
39,Special Round 2,Malaviya National Institute of Technology Jaipur,Structural Engineering,Group 1,OBC-NCL,366,332
40,Special Round 2,Malaviya National Institute of Technology Jaipur,Structural Engineering,Group 1,OPEN,435,435
41,Special Round 2,Malaviya National Institute of Technology Jaipur,Structural Engineering,Group 1,SC,268,268
42,Special Round 2,"National Institute of Technology, Tiruchirappalli",Structural Engineering,Group 1,EWS,400,400
43,Special Round 2,"National Institute of Technology, Tiruchirappalli",Structural Engineering,Group 1,SC,332,332
44,Special Round 2,"Visvesvaraya National Institute of Technology, Nagpur",Structural Engineering,Group 1,OBC-NCL,363,359
45,Special Round 2,"Visvesvaraya National Institute of Technology, Nagpur",Structural Engineering,Group 1,EWS,348,348
46,Special Round 2,"Visvesvaraya National Institute of Technology, Nagpur",Structural Engineering,Group 1,OPEN,382,382
47,Special Round 2,"National Institute of Technology, Rourkela",Structural Engineering,Group 1,OBC-NCL,382,382
48,Special Round 2,"National Institute of Technology, Rourkela",Structural Engineering,Group 1,EWS,363,363
