Sr.No, Round  , Institute                                                                      , Program                                                                                                                                      , Stream                                                 , Seat Type      , Quota     , Category          , Opening Rank, Closing Rank
    1, Round 1, "Calcutta Institute of Technology, Uluberia, Howrah"                           , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        19850,        96244
    2, Round 1, "Haldia Institute of Technology, Haldia, Purba Medinipur"                      , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        10792,        33433
    3, Round 1, "Haldia Institute of Technology, Haldia, Purba Medinipur"                      , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,        28188,       154071
    4, Round 1, ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE                       , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC                ,        22540,        27263
    5, Round 1, ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE                       , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, ST                ,        76922,        81406
    6, Round 1, ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE                       , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,        18972,        27995
    7, Round 1, ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE                       , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,        17778,        24079
    8, Round 1, Jadavpur University                                                            , Mechanical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,         1952,         3061
    9, Round 1, Jadavpur University                                                            , Mechanical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,          336,          671
   10, Round 1, Jadavpur University                                                            , Mechanical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Open (PwD)        ,        18778,        39586
   11, Round 1, ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE                       , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - B           ,        17749,        18422
   12, Round 1, "Jis College of Engineering, Kalyani, Nadia"                                   , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       899120,      1068475
   13, Round 1, "Jis College of Engineering, Kalyani, Nadia"                                   , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        10804,        85769
   14, Round 1, "Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly"        , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        66100,        66100
   15, Round 1, "Sister Nivedita University, New Town"                                         , VIRTUAL REALITY (AR/VR) (TFW)                                                                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,        36039,        38778
   16, Round 1, University Of Calcutta                                                         , Instrumentation Engineering (TFW)                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,         3279,         3501
   17, Round 1, "Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly"        , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,         9270,        98474
   18, Round 1, "Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly"        , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       775801,      1401134
   19, Round 1, "Techno Main Salt Lake, Sector-V, Salt Lake"                                   , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,         4295,        11759
   20, Round 1, "Techno Main Salt Lake, Sector-V, Salt Lake"                                   , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,         5265,        10316
   21, Round 1, "Techno Main Salt Lake, Sector-V, Salt Lake"                                   , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,        15983,        29410
   22, Round 1, "Netaji Subhas Engineering College, Garia, Kolkata"                            , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       121689,       286945
   23, Round 1, "Netaji Subhas Engineering College, Garia, Kolkata"                            , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,        47206,        47206
   24, Round 1, "Elitte College of Engineering,Mahispota, Sodepur"                             , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        50820,        50820
   25, Round 1, "Elitte College of Engineering,Mahispota, Sodepur"                             , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       995113,       995113
   26, Round 1, TECHNO INSTITUTE OF ENGINEERING AND MANAGEMENT                                 , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        15109,        95704
   27, Round 1, TECHNO INSTITUTE OF ENGINEERING AND MANAGEMENT                                 , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       316691,       864138
   28, Round 1, THE NEOTIA UNIVERSITY                                                          , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        10094,        88514
   29, Round 1, "Heritage Institute of Technology, Kolkata"                                    , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,          378,         5889
   30, Round 1, "Heritage Institute of Technology, Kolkata"                                    , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC                ,        12219,        12219
   31, Round 1, Jadavpur University                                                            , Metallurgical Engineering (TFW)                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,         2192,         2222
   32, Round 1, "Govt. College of Engg. & Textile Technology, Berhampore"                      , Textile Technology (TFW)                                                                                                                     , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,        15342,        20078
   33, Round 1, "Govt. College of Engineering & Textile Technology, Serampore"                 , Textile Technology (TFW)                                                                                                                     , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,         7496,        11150
   34, Round 1, "Goverment College of Engineering and Leather Technology, Kolkata"             , Leather Technology                                                                                                                           , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - B           ,        19459,        19658
   35, Round 1, "Goverment College of Engineering and Leather Technology, Kolkata"             , Leather Technology                                                                                                                           , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Open              ,         2058,        16244
   36, Round 1, "Goverment College of Engineering and Leather Technology, Kolkata"             , Leather Technology                                                                                                                           , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC                ,        18164,        29457
   37, Round 1, "Goverment College of Engineering and Leather Technology, Kolkata"             , Leather Technology                                                                                                                           , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, ST                ,        37508,        49801
   38, Round 1, "Goverment College of Engineering and Leather Technology, Kolkata"             , Leather Technology                                                                                                                           , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Open (PwD)        ,        79989,        79989
   39, Round 1, "Goverment College of Engineering and Leather Technology, Kolkata"             , Leather Technology                                                                                                                           , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,        21374,        26140
   40, Round 1, "Goverment College of Engineering and Leather Technology, Kolkata"             , Leather Technology                                                                                                                           , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,        20106,        25198
   41, Round 1, "Hemnalini Memorial College of Engineering, Haringhata"                        , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        47524,        98656
   42, Round 1, "Guru Nanak Institute of Technology, Panihati, Sodepur"                        , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       268292,      1150193
   43, Round 1, "Guru Nanak Institute of Technology, Panihati, Sodepur"                        , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        33403,        78877
   44, Round 1, "Haldia Institute of Technology, Haldia, Purba Medinipur"                      , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC                ,        78376,        95792
   45, Round 1, "Haldia Institute of Technology, Haldia, Purba Medinipur"                      , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,        80657,        80657
   46, Round 1, "Hooghly Engineering & Technology College, Hooghly"                            , Mechanical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        29688,        75599
   47, Round 1, "Dr. B. C. Roy Engineering College, Durgapur"                                  , Mechanical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       592546,      1082758
   48, Round 1, Jadavpur University                                                            , Mechanical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - B (PwD)     ,        41739,        41739
