Sr.No,Round ,Institute ,Program ,Stream ,Seat Type ,Quota ,Category ,Opening Rank ,Closing Rank 
1,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,26477,32845
2,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,24823,26425
3,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,44878,60312
4,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,16277,23841
5,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,26959,34232
6,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,89607,98716
7,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,22033,22033
8,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,20679,26023
9,Round 2,"Meghnad Saha Institute of Technology, Kolkata",Computer Science & Engineering (Cyber Security),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,462635,462635
10,Round 2,"Meghnad Saha Institute of Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,435539,556095
11,Round 2,"Meghnad Saha Institute of Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,84462,98282
12,Round 2,"Meghnad Saha Institute of Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,19786,22846
13,Round 2,"Meghnad Saha Institute of Technology, Kolkata",Computer Science & Engineering (Data Science) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,23545,23545
14,Round 2,"Meghnad Saha Institute of Technology, Kolkata",ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,465351,475927
15,Round 2,"Meghnad Saha Institute of Technology, Kolkata",ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,52120,95047
16,Round 2,"Meghnad Saha Institute of Technology, Kolkata",COMPUTER SCIENCE & ENGINEERING (INTERNET OF THINGS),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,791063,795451
17,Round 2,"Meghnad Saha Institute of Technology, Kolkata",COMPUTER SCIENCE & ENGINEERING (INTERNET OF THINGS) (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,24004,25283
18,Round 2,"Murshidabad College of Engineering & Technology, Murshidabad",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,76762,94654
19,Round 2,"Narula Institute of Technology, Agarpara, Kolkata",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,903763,903763
20,Round 2,"Narula Institute of Technology, Agarpara, Kolkata",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,88231,97749
